time,p00,p01,p10,p11
1.74,0,0,0.456127,0.549325
1.75,0,0,0.451966,0.553518
1.76,0,0,0.447823,0.557692
1.77,0,0,0.4437,0.561847
1.78,0,0,0.439596,0.565982
1.79,0,0,0.435512,0.570097
1.8,0,0,0.43145,0.574191
1.81,0,0,0.427408,0.578264
1.82,0,0,0.423388,0.582316
1.83,0,0,0.41939,0.586345
1.84,0,0,0.415416,0.590351
1.85,0,0,0.411464,0.594334
1.86,0,0,0.407536,0.598293
1.87,0,0,0.403633,0.602228
1.88,0,0,0.399754,0.606138
1.89,0,0,0.3959,0.610024
1.9,0,0,0.392072,0.613883
1.91,0,0,0.38827,0.617716
1.92,0,0,0.384495,0.621523
1.93,0,0,0.380748,0.625302
1.94,0,0,0.377027,0.629054
1.95,0,0,0.373335,0.632777
1.96,0,0,0.369672,0.636472
1.97,0,0,0.366037,0.640138
1.98,0,0,0.362432,0.643775
1.99,0,0,0.358857,0.647381
2,0,0,0.355312,0.650958
2.01,0,0,0.351798,0.654503
2.02,0,0,0.348315,0.658017
2.03,0,0,0.344864,0.661499
2.04,0,0,0.341446,0.66495
2.05,0,0,0.338059,0.668367
2.06,0,0,0.334706,0.671752
2.07,0,0,0.331386,0.675103
2.08,0,0,0.328101,0.678421
2.09,0,0,0.324849,0.681704
2.1,0,0,0.321632,0.684952
2.11,0,0,0.31845,0.688165
2.12,0,0,0.315304,0.691343
2.13,0,0,0.312193,0.694485
2.14,0,0,0.309119,0.697591
2.15,0,0,0.306081,0.70066
2.16,0,0,0.303081,0.703692
2.17,0,0,0.300118,0.706686
2.18,0,0,0.297193,0.709643
2.19,0,0,0.294306,0.712561
2.2,0,0,0.291457,0.715441
2.21,0,0,0.288648,0.718282
2.22,0,0,0.285877,0.721084
2.23,0,0,0.283147,0.723846
2.24,0,0,0.280456,0.726569
2.25,0,0,0.277805,0.729251
2.26,0,0,0.275196,0.731892
2.27,0,0,0.272627,0.734492
2.28,0,0,0.270099,0.737051
2.29,0,0,0.267613,0.739569
2.3,0,0,0.265169,0.742044
2.31,0,0,0.262767,0.744477
2.32,0,0,0.260408,0.746868
2.33,0,0,0.258092,0.749216
2.34,0,0,0.255819,0.751521
2.35,0,0,0.253589,0.753782
2.36,0,0,0.251403,0.755999
2.37,0,0,0.249261,0.758173
2.38,0,0,0.247163,0.760302
2.39,0,0,0.245109,0.762387
2.4,0,0,0.243101,0.764427
2.41,0,0,0.241138,0.766422
2.42,0,0,0.239219,0.768372
2.43,0,0,0.237347,0.770276
2.44,0,0,0.23552,0.772134
2.45,0,0,0.233739,0.773946
2.46,0,0,0.232005,0.775712
2.47,0,0,0.230317,0.777432
2.48,0,0,0.228675,0.779105
