time,x,y,z
0,0,0,1
0.001,0.001,-6.12303e-20,1
0.002,0.002,-1.22461e-19,0.999998
0.003,0.003,-1.83691e-19,0.999996
0.004,0.00399999,-2.44921e-19,0.999992
0.005,0.00499998,-3.0615e-19,0.999988
0.006,0.00599996,-3.6738e-19,0.999982
0.007,0.00699994,-4.28609e-19,0.999976
0.008,0.00799991,-4.89837e-19,0.999968
0.009,0.00899988,-5.51065e-19,0.99996
0.01,0.00999983,-6.12293e-19,0.99995
0.011,0.0109998,-6.7352e-19,0.99994
0.012,0.0119997,-7.34746e-19,0.999928
0.013,0.0129996,-7.95972e-19,0.999916
0.014,0.0139995,-8.57196e-19,0.999902
0.015,0.0149994,-9.1842e-19,0.999888
0.016,0.0159993,-9.79643e-19,0.999872
0.017,0.0169992,-1.04087e-18,0.999856
0.018,0.017999,-1.10209e-18,0.999838
0.019,0.0189989,-1.16331e-18,0.99982
0.02,0.0199987,-1.22452e-18,0.9998
0.021,0.0209985,-1.28574e-18,0.99978
0.022,0.0219982,-1.34696e-18,0.999758
0.023,0.022998,-1.40817e-18,0.999736
0.024,0.0239977,-1.46939e-18,0.999712
0.025,0.0249974,-1.5306e-18,0.999688
0.026,0.0259971,-1.59181e-18,0.999662
0.027,0.0269967,-1.65302e-18,0.999636
0.028,0.0279963,-1.71422e-18,0.999608
0.029,0.0289959,-1.77543e-18,0.99958
0.03,0.0299955,-1.83663e-18,0.99955
0.031,0.030995,-1.89784e-18,0.99952
0.032,0.0319945,-1.95904e-18,0.999488
0.033,0.032994,-2.02023e-18,0.999456
0.034,0.0339934,-2.08143e-18,0.999422
0.035,0.0349929,-2.14262e-18,0.999388
0.036,0.0359922,-2.20382e-18,0.999352
0.037,0.0369916,-2.265e-18,0.999316
0.038,0.0379909,-2.32619e-18,0.999278
0.039,0.0389901,-2.38738e-18,0.99924
0.04,0.0399893,-2.44856e-18,0.9992
0.041,0.0409885,-2.50974e-18,0.99916
0.042,0.0419877,-2.57092e-18,0.999118
0.043,0.0429868,-2.63209e-18,0.999076
0.044,0.0439858,-2.69326e-18,0.999032
0.045,0.0449848,-2.75443e-18,0.998988
0.046,0.0459838,-2.8156e-18,0.998942
0.047,0.0469827,-2.87677e-18,0.998896
0.048,0.0479816,-2.93793e-18,0.998848
0.049,0.0489804,-2.99909e-18,0.9988
0.05,0.0499792,-3.06024e-18,0.99875
0.051,0.0509779,-3.12139e-18,0.9987
