time,x,y,z
0,0,0,1
0.001,8.5e-08,-0.001,1
0.002,3.4e-07,-0.002,0.999998
0.003,7.64999e-07,-0.003,0.999996
0.004,1.36e-06,-0.00399999,0.999992
0.005,2.125e-06,-0.00499998,0.999988
0.006,3.05999e-06,-0.00599996,0.999982
0.007,4.16498e-06,-0.00699994,0.999976
0.008,5.43997e-06,-0.00799991,0.999968
0.009,6.88495e-06,-0.00899987,0.99996
0.01,8.49993e-06,-0.00999983,0.99995
0.011,1.02849e-05,-0.0109998,0.99994
0.012,1.22398e-05,-0.0119997,0.999928
0.013,1.43648e-05,-0.0129996,0.999916
0.014,1.66597e-05,-0.0139995,0.999902
0.015,1.91246e-05,-0.0149994,0.999888
0.016,2.17595e-05,-0.0159993,0.999872
0.017,2.45644e-05,-0.0169992,0.999856
0.018,2.75392e-05,-0.017999,0.999838
0.019,3.06841e-05,-0.0189988,0.99982
0.02,3.39988e-05,-0.0199986,0.9998
0.021,3.74836e-05,-0.0209984,0.99978
0.022,4.11383e-05,-0.0219982,0.999758
0.023,4.4963e-05,-0.0229979,0.999736
0.024,4.89576e-05,-0.0239976,0.999712
0.025,5.31222e-05,-0.0249973,0.999688
0.026,5.74567e-05,-0.025997,0.999662
0.027,6.19611e-05,-0.0269966,0.999636
0.028,6.66355e-05,-0.0279962,0.999608
0.029,7.14798e-05,-0.0289958,0.99958
0.03,7.64941e-05,-0.0299954,0.99955
0.031,8.16783e-05,-0.0309949,0.99952
0.032,8.70324e-05,-0.0319944,0.999488
0.033,9.25564e-05,-0.0329938,0.999456
0.034,9.82503e-05,-0.0339933,0.999422
0.035,0.000104114,-0.0349926,0.999388
0.036,0.000110148,-0.035992,0.999352
0.037,0.000116351,-0.0369913,0.999316
0.038,0.000122725,-0.0379906,0.999278
0.039,0.000129268,-0.0389898,0.99924
0.04,0.000135981,-0.039989,0.9992
0.041,0.000142864,-0.0409882,0.99916
0.042,0.000149917,-0.0419873,0.999118
0.043,0.00015714,-0.0429864,0.999076
0.044,0.000164533,-0.0439854,0.999032
0.045,0.000172095,-0.0449844,0.998988
0.046,0.000179827,-0.0459833,0.998942
0.047,0.000187729,-0.0469822,0.998896
0.048,0.000195801,-0.047981,0.998848
0.049,0.000204043,-0.0489798,0.9988
0.05,0.000212454,-0.0499786,0.99875
0.051,0.000221036,-0.0509773,0.9987
0.052,0.000229787,-0.0519759,0.998648
0.053,0.000238707,-0.0529745,0.998596
0.054,0.000247798,-0.053973,0.998542
0.055,0.000257058,-0.0549715,0.998488
0.056,0.000266488,-0.0559699,0.998432
0.057,0.000276088,-0.0569682,0.998376
0.058,0.000285858,-0.0579665,0.998318
0.059,0.000295797,-0.0589648,0.99826
0.06,0.000305906,-0.059963,0.998201
0.061,0.000316184,-0.0609611,0.99814
0.062,0.000326632,-0.0619591,0.998079
0.063,0.00033725,-0.0629571,0.998016
0.064,0.000348038,-0.0639551,0.997953
0.065,0.000358995,-0.0649529,0.997888
0.066,0.000370122,-0.0659507,0.997823
0.067,0.000381418,-0.0669484,0.997756
0.068,0.000392884,-0.0679461,0.997689
0.069,0.00040452,-0.0689437,0.99762
0.07,0.000416325,-0.0699412,0.997551
0.071,0.0004283,-0.0709386,0.997481
0.072,0.000440444,-0.071936,0.997409
0.073,0.000452758,-0.0729333,0.997337
0.074,0.000465241,-0.0739305,0.997263
0.075,0.000477894,-0.0749277,0.997189
0.076,0.000490717,-0.0759247,0.997113
0.077,0.000503709,-0.0769217,0.997037
0.078,0.00051687,-0.0779186,0.99696
0.079,0.000530201,-0.0789155,0.996881
0.08,0.000543702,-0.0799122,0.996802
0.081,0.000557371,-0.0809089,0.996721
0.082,0.000571211,-0.0819055,0.99664
0.083,0.000585219,-0.082902,0.996558
0.084,0.000599397,-0.0838984,0.996474
0.085,0.000613745,-0.0848947,0.99639
0.086,0.000628261,-0.085891,0.996304
0.087,0.000642948,-0.0868871,0.996218
0.088,0.000657803,-0.0878832,0.996131
0.089,0.000672828,-0.0888792,0.996042
0.09,0.000688022,-0.089875,0.995953
0.091,0.000703385,-0.0908708,0.995862
0.092,0.000718918,-0.0918665,0.995771
0.093,0.00073462,-0.0928621,0.995679
0.094,0.000750491,-0.0938576,0.995585
0.095,0.000766532,-0.094853,0.995491
0.096,0.000782741,-0.0958484,0.995396
0.097,0.00079912,-0.0968436,0.995299
0.098,0.000815668,-0.0978387,0.995202
0.099,0.000832385,-0.0988337,0.995104
0.1,0.000849271,-0.0998286,0.995004
0.101,0.000866327,-0.100823,0.994904
0.102,0.000883551,-0.101818,0.994803
0.103,0.000900945,-0.102813,0.9947
0.104,0.000918508,-0.103807,0.994597
0.105,0.000936239,-0.104802,0.994493
0.106,0.00095414,-0.105796,0.994387
0.107,0.00097221,-0.10679,0.994281
0.108,0.000990449,-0.107784,0.994174
0.109,0.00100886,-0.108778,0.994066
0.11,0.00102743,-0.109772,0.993956
0.111,0.00104618,-0.110766,0.993846
0.112,0.00106509,-0.111759,0.993735
0.113,0.00108418,-0.112753,0.993622
0.114,0.00110343,-0.113746,0.993509
0.115,0.00112285,-0.114739,0.993395
0.116,0.00114244,-0.115733,0.99328
0.117,0.0011622,-0.116726,0.993164
0.118,0.00118213,-0.117718,0.993046
0.119,0.00120222,-0.118711,0.992928
0.12,0.00122249,-0.119704,0.992809
0.121,0.00124292,-0.120696,0.992689
0.122,0.00126353,-0.121689,0.992567
0.123,0.0012843,-0.122681,0.992445
0.124,0.00130524,-0.123673,0.992322
0.125,0.00132635,-0.124665,0.992198
0.126,0.00134762,-0.125657,0.992073
0.127,0.00136907,-0.126649,0.991947
0.128,0.00139068,-0.127641,0.99182
