time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0,-1.92463e-09,-0.000987506,1,0,0,1,0,0,1
0.001,-3.22719e-08,-0.00197256,0.999998,0,0,1,0,0,1
0.002,-7.4124e-08,-0.00295701,0.999996,0,0,1,0,0,1
0.003,-1.00677e-07,-0.0039464,0.999992,0,0,1,0,0,1
0.004,-1.03393e-07,-0.00493324,0.999988,0,0,1,0,0,1
0.005,-1.10546e-07,-0.00590492,0.999983,0,0,1,0,0,1
0.006,-1.90497e-07,-0.00687626,0.999976,0,0,1,0,0,1
0.007,-2.8815e-07,-0.00783175,0.999969,0,0,1,0,0,1
0.008,-3.50256e-07,-0.00878374,0.999961,0,0,1,0,0,1
0.009,-3.84172e-07,-0.00974561,0.999953,0,0,1,0,0,1
0.01,-2.34658e-07,-0.0107024,0.999943,0,0,1,0,0,1
0.011,-6.93918e-08,-0.0116638,0.999932,0,0,1,0,0,1
0.012,1.30778e-07,-0.012632,0.99992,0,0,1,0,0,1
0.013,4.24678e-07,-0.0136075,0.999907,0,0,1,0,0,1
0.014,6.52598e-07,-0.0145691,0.999894,0,0,1,0,0,1
0.015,1.13473e-06,-0.0155238,0.999879,0,0,1,0,0,1
0.016,1.84363e-06,-0.0164715,0.999864,0,0,1,0,0,1
0.017,2.60855e-06,-0.0173946,0.999849,0,0,1,0,0,1
0.018,3.35399e-06,-0.0183145,0.999832,0,0,1,0,0,1
0.019,4.58044e-06,-0.0192175,0.999815,0,0,1,0,0,1
0.02,5.84278e-06,-0.0201119,0.999798,0,0,1,0,0,1
0.021,7.13378e-06,-0.0210005,0.999779,0,0,1,0,0,1
0.022,8.52884e-06,-0.0218943,0.99976,0,0,1,0,0,1
0.023,9.79057e-06,-0.0227801,0.999741,0,0,1,0,0,1
0.024,1.06534e-05,-0.0236754,0.99972,0,0,1,0,0,1
0.025,1.18405e-05,-0.0245779,0.999698,0,0,1,0,0,1
0.026,1.33978e-05,-0.0254984,0.999675,0,0,1,0,0,1
0.027,1.50631e-05,-0.0264346,0.999651,0,0,1,0,0,1
0.028,1.71401e-05,-0.027361,0.999626,0,0,1,0,0,1
0.029,1.90506e-05,-0.0283062,0.999599,0,0,1,0,0,1
0.03,2.07718e-05,-0.029252,0.999572,0,0,1,0,0,1
0.031,2.24947e-05,-0.0301951,0.999544,0,0,1,0,0,1
0.032,2.46436e-05,-0.0311167,0.999516,0,0,1,0,0,1
0.033,2.66901e-05,-0.032047,0.999486,0,0,1,0,0,1
0.034,2.92144e-05,-0.0329841,0.999456,0,0,1,0,0,1
0.035,3.17031e-05,-0.033943,0.999424,0,0,1,0,0,1
0.036,3.48237e-05,-0.0348994,0.999391,0,0,1,0,0,1
0.037,3.78249e-05,-0.0358498,0.999357,0,0,1,0,0,1
0.038,4.0879e-05,-0.0367868,0.999323,0,0,1,0,0,1
0.039,4.38462e-05,-0.0377261,0.999288,0,0,1,0,0,1
0.04,4.67137e-05,-0.0386632,0.999252,0,0,1,0,0,1
0.041,4.99837e-05,-0.0395908,0.999216,0,0,1,0,0,1
0.042,5.3883e-05,-0.0405305,0.999178,0,0,1,0,0,1
0.043,5.82547e-05,-0.0414589,0.99914,0,0,1,0,0,1
0.044,6.33736e-05,-0.0423742,0.999102,0,0,1,0,0,1
0.045,6.89898e-05,-0.0432869,0.999063,0,0,1,0,0,1
0.046,7.4674e-05,-0.0442294,0.999021,0,0,1,0,0,1
0.047,8.03301e-05,-0.0451852,0.998979,0,0,1,0,0,1
0.048,8.5805e-05,-0.0461485,0.998935,0,0,1,0,0,1
0.049,9.1081e-05,-0.0471077,0.99889,0,0,1,0,0,1
0.05,9.5884e-05,-0.0480605,0.998844,0,0,1,0,0,1
0.051,0.000100908,-0.0490156,0.998798,0,0,1,0,0,1
0.052,0.000105842,-0.0499696,0.998751,0,0,1,0,0,1
0.053,0.000111423,-0.0509156,0.998703,0,0,1,0,0,1
0.054,0.000116869,-0.0518627,0.998654,0,0,1,0,0,1
0.055,0.000123014,-0.0527888,0.998606,0,0,1,0,0,1
0.056,0.000129221,-0.0537089,0.998557,0,0,1,0,0,1
0.057,0.000135755,-0.0546367,0.998506,0,0,1,0,0,1
0.058,0.000142166,-0.0555495,0.998456,0,0,1,0,0,1
0.059,0.00014771,-0.0564461,0.998406,0,0,1,0,0,1
0.06,0.000153712,-0.0573466,0.998354,0,0,1,0,0,1
0.061,0.000158985,-0.0582414,0.998303,0,0,1,0,0,1
0.062,0.000165074,-0.0591224,0.998251,0,0,1,0,0,1
0.063,0.000171875,-0.0600118,0.998198,0,0,1,0,0,1
0.064,0.000179856,-0.0609094,0.998143,0,0,1,0,0,1
0.065,0.000188442,-0.061826,0.998087,0,0,1,0,0,1
0.066,0.000198076,-0.0627278,0.998031,0,0,1,0,0,1
0.067,0.000208134,-0.0636226,0.997974,0,0,1,0,0,1
0.068,0.000217931,-0.0645181,0.997917,0,0,1,0,0,1
0.069,0.000226837,-0.0654094,0.997858,0,0,1,0,0,1
0.07,0.000236446,-0.0662847,0.997801,0,0,1,0,0,1
0.071,0.000246346,-0.0671511,0.997743,0,0,1,0,0,1
0.072,0.000256643,-0.0680073,0.997685,0,0,1,0,0,1
0.073,0.000265577,-0.0688515,0.997627,0,0,1,0,0,1
0.074,0.000275085,-0.0696952,0.997568,0,0,1,0,0,1
0.075,0.000283718,-0.0705489,0.997508,0,0,1,0,0,1
0.076,0.000292511,-0.0714175,0.997446,0,0,1,0,0,1
0.077,0.000301965,-0.0722904,0.997384,0,0,1,0,0,1
0.078,0.000311653,-0.0731554,0.997321,0,0,1,0,0,1
0.079,0.000322651,-0.0740233,0.997256,0,0,1,0,0,1
0.08,0.000332969,-0.0748705,0.997193,0,0,1,0,0,1
0.081,0.000343476,-0.0757247,0.997129,0,0,1,0,0,1
0.082,0.000354405,-0.0765771,0.997064,0,0,1,0,0,1
0.083,0.000365468,-0.0774206,0.996998,0,0,1,0,0,1
0.084,0.000376703,-0.0782515,0.996934,0,0,1,0,0,1
0.085,0.000388067,-0.0790777,0.996868,0,0,1,0,0,1
0.086,0.000398958,-0.0798988,0.996803,0,0,1,0,0,1
0.087,0.000409915,-0.0807173,0.996737,0,0,1,0,0,1
0.088,0.000421396,-0.0815395,0.99667,0,0,1,0,0,1
0.089,0.000432985,-0.0823637,0.996602,0,0,1,0,0,1
0.09,0.000444463,-0.083178,0.996535,0,0,1,0,0,1
0.091,0.000454883,-0.0839969,0.996466,0,0,1,0,0,1
0.092,0.000464542,-0.0848049,0.996397,0,0,1,0,0,1
0.093,0.000474104,-0.0856112,0.996329,0,0,1,0,0,1
0.094,0.000484317,-0.0864158,0.996259,0,0,1,0,0,1
0.095,0.000493591,-0.0872139,0.996189,0,0,1,0,0,1
0.096,0.000502983,-0.0880133,0.996119,0,0,1,0,0,1
0.097,0.000513494,-0.0888126,0.996048,0,0,1,0,0,1
0.098,0.000523727,-0.0896211,0.995976,0,0,1,0,0,1
0.099,0.000531955,-0.0904417,0.995902,0,0,1,0,0,1
0.1,0.000541173,-0.0912511,0.995828,0,0,1,0,0,1
0.101,0.000549977,-0.09206,0.995753,0,0,1,0,0,1
0.102,0.000556434,-0.0928417,0.995681,0,0,1,0,0,1
0.103,0.000562658,-0.0936258,0.995607,0,0,1,0,0,1
0.104,0.000567048,-0.0943958,0.995535,0,0,1,0,0,1
0.105,0.000570533,-0.0951694,0.995461,0,0,1,0,0,1
0.106,0.000573478,-0.0959422,0.995387,0,0,1,0,0,1
0.107,0.000575413,-0.0967055,0.995313,0,0,1,0,0,1
0.108,0.000577417,-0.0974582,0.995239,0,0,1,0,0,1
0.109,0.000578399,-0.0982089,0.995166,0,0,1,0,0,1
0.11,0.000579728,-0.0989531,0.995092,0,0,1,0,0,1
0.111,0.000580592,-0.0997198,0.995015,0,0,1,0,0,1
0.112,0.0005821,-0.100483,0.994939,0,0,1,0,0,1
0.113,0.000581936,-0.101234,0.994862,0,0,1,0,0,1
0.114,0.000582238,-0.101979,0.994786,0,0,1,0,0,1
0.115,0.000582042,-0.102725,0.99471,0,0,1,0,0,1
0.116,0.000583077,-0.103476,0.994632,0,0,1,0,0,1
0.117,0.000585525,-0.104234,0.994553,0,0,1,0,0,1
0.118,0.000588686,-0.10499,0.994473,0,0,1,0,0,1
0.119,0.000591033,-0.10573,0.994395,0,0,1,0,0,1
0.12,0.000592904,-0.106465,0.994316,0,0,1,0,0,1
0.121,0.000595102,-0.107219,0.994235,0,0,1,0,0,1
0.122,0.000598293,-0.107987,0.994152,0,0,1,0,0,1
0.123,0.00060078,-0.108748,0.994069,0,0,1,0,0,1
0.124,0.000602124,-0.109509,0.993986,0,0,1,0,0,1
0.125,0.000604846,-0.110275,0.993901,0,0,1,0,0,1
0.126,0.000607098,-0.11106,0.993814,0,0,1,0,0,1
0.127,0.000609001,-0.111853,0.993725,0,0,1,0,0,1
0.128,0.000610753,-0.112645,0.993635,0,0,1,0,0,1
0.129,0.000612409,-0.113413,0.993548,0,0,1,0,0,1
0.13,0.000613738,-0.114186,0.993459,0,0,1,0,0,1
0.131,0.000615006,-0.114954,0.993371,0,0,1,0,0,1
0.132,0.000616289,-0.11573,0.99328,0,0,1,0,0,1
0.133,0.000618326,-0.116499,0.993191,0,0,1,0,0,1
0.134,0.000618501,-0.11726,0.993101,0,0,1,0,0,1
