time,x,y,z
0,0,0,1
0.01,1.94998e-05,-0.00999981,0.99995
0.02,7.7997e-05,-0.0199985,0.9998
0.03,0.000175485,-0.0299948,0.99955
0.04,0.000311952,-0.0399877,0.9992
0.05,0.000487383,-0.049976,0.99875
0.06,0.000701757,-0.0599585,0.998201
0.07,0.000955051,-0.0699342,0.997551
0.08,0.00124723,-0.0799017,0.996802
0.09,0.00157827,-0.0898601,0.995953
0.1,0.00194813,-0.0998081,0.995005
0.11,0.00235676,-0.109745,0.993957
0.12,0.00280412,-0.119668,0.99281
0.13,0.00329016,-0.129579,0.991564
0.14,0.00381481,-0.139474,0.990218
0.15,0.00437803,-0.149353,0.988774
0.16,0.00497974,-0.159215,0.987231
0.17,0.00561988,-0.169058,0.98559
0.18,0.00629837,-0.178882,0.98385
0.19,0.00701514,-0.188686,0.982012
0.2,0.00777009,-0.198467,0.980077
0.21,0.00856315,-0.208226,0.978043
0.22,0.00939422,-0.217961,0.975912
0.23,0.0102632,-0.227671,0.973684
0.24,0.01117,-0.237354,0.971359
0.25,0.0121145,-0.247011,0.968937
0.26,0.0130967,-0.256638,0.966419
0.27,0.0141163,-0.266236,0.963804
0.28,0.0151733,-0.275804,0.961094
0.29,0.0162675,-0.28534,0.958288
0.3,0.0173989,-0.294842,0.955387
0.31,0.0185672,-0.304311,0.952392
0.32,0.0197725,-0.313745,0.949301
0.33,0.0210144,-0.323143,0.946117
0.34,0.0222929,-0.332503,0.942839
0.35,0.0236079,-0.341825,0.939467
0.36,0.0249591,-0.351108,0.936002
0.37,0.0263465,-0.36035,0.932445
0.38,0.0277698,-0.369551,0.928795
0.39,0.0292289,-0.378709,0.925054
0.4,0.0307237,-0.387824,0.921221
0.41,0.0322539,-0.396894,0.917298
0.42,0.0338194,-0.405918,0.913284
0.43,0.03542,-0.414895,0.90918
0.44,0.0370555,-0.423825,0.904986
0.45,0.0387257,-0.432705,0.900703
0.46,0.0404305,-0.441536,0.896332
0.47,0.0421697,-0.450316,0.891873
0.48,0.0439429,-0.459045,0.887326
0.49,0.0457501,-0.46772,0.882692
0.5,0.0475911,-0.476341,0.877972
0.51,0.0494655,-0.484908,0.873165
0.52,0.0513733,-0.493418,0.868274
0.53,0.0533141,-0.501872,0.863297
0.54,0.0552878,-0.510268,0.858236
0.55,0.0572941,-0.518605,0.853092
0.56,0.0593329,-0.526883,0.847864
0.57,0.0614037,-0.535099,0.842555
0.58,0.0635065,-0.543255,0.837163
0.59,0.065641,-0.551347,0.83169
0.6,0.067807,-0.559376,0.826136
0.61,0.0700041,-0.567341,0.820502
0.62,0.0722321,-0.57524,0.814789
0.63,0.0744909,-0.583073,0.808998
0.64,0.07678,-0.590838,0.803128
0.65,0.0790993,-0.598536,0.797181
0.66,0.0814485,-0.606165,0.791158
0.67,0.0838273,-0.613724,0.785058
0.68,0.0862355,-0.621212,0.778883
0.69,0.0886727,-0.628628,0.772634
0.7,0.0911387,-0.635973,0.766311
0.71,0.0936332,-0.643243,0.759915
0.72,0.0961559,-0.65044,0.753446
0.73,0.0987065,-0.657562,0.746906
0.74,0.101285,-0.664608,0.740295
0.75,0.10389,-0.671578,0.733614
0.76,0.106523,-0.67847,0.726864
0.77,0.109182,-0.685284,0.720045
0.78,0.111868,-0.692019,0.713159
0.79,0.11458,-0.698674,0.706205
0.8,0.117318,-0.705249,0.699186
0.81,0.120081,-0.711743,0.692101
0.82,0.122869,-0.718154,0.684951
0.83,0.125682,-0.724483,0.677738
0.84,0.12852,-0.730728,0.670462
0.85,0.131382,-0.736889,0.663123
0.86,0.134268,-0.742966,0.655724
0.87,0.137177,-0.748956,0.648264
0.88,0.140109,-0.754861,0.640745
0.89,0.143065,-0.760678,0.633167
0.9,0.146043,-0.766408,0.625532
0.91,0.149043,-0.77205,0.61784
0.92,0.152064,-0.777602,0.610091
0.93,0.155108,-0.783065,0.602288
0.94,0.158172,-0.788438,0.59443
0.95,0.161257,-0.79372,0.586519
0.96,0.164363,-0.79891,0.578556
0.97,0.167489,-0.804009,0.570542
0.98,0.170634,-0.809014,0.562476
0.99,0.173799,-0.813927,0.554362
1,0.176983,-0.818746,0.546198
1.01,0.180185,-0.82347,0.537987
1.02,0.183406,-0.8281,0.529729
1.03,0.186644,-0.832634,0.521425
1.04,0.1899,-0.837072,0.513077
1.05,0.193173,-0.841414,0.504684
1.06,0.196463,-0.845659,0.496249
1.07,0.199769,-0.849807,0.487771
1.08,0.203091,-0.853856,0.479253
1.09,0.206429,-0.857808,0.470694
1.1,0.209782,-0.86166,0.462097
1.11,0.21315,-0.865413,0.453462
1.12,0.216532,-0.869066,0.444789
1.13,0.219929,-0.87262,0.436081
1.14,0.223339,-0.876072,0.427337
1.15,0.226762,-0.879424,0.418559
1.16,0.230198,-0.882675,0.409749
1.17,0.233647,-0.885824,0.400906
1.18,0.237107,-0.88887,0.392033
1.19,0.24058,-0.891815,0.383129
1.2,0.244063,-0.894656,0.374197
1.21,0.247558,-0.897395,0.365236
1.22,0.251063,-0.90003,0.356249
1.23,0.254578,-0.902561,0.347236
1.24,0.258103,-0.904989,0.338198
1.25,0.261637,-0.907312,0.329137
1.26,0.26518,-0.909531,0.320053
1.27,0.268731,-0.911645,0.310947
1.28,0.27229,-0.913654,0.30182
1.29,0.275857,-0.915557,0.292674
1.3,0.279431,-0.917355,0.283509
1.31,0.283012,-0.919048,0.274327
1.32,0.2866,-0.920634,0.265129
1.33,0.290193,-0.922115,0.255915
1.34,0.293792,-0.923489,0.246687
1.35,0.297396,-0.924757,0.237445
1.36,0.301005,-0.925918,0.228192
1.37,0.304618,-0.926973,0.218927
1.38,0.308235,-0.927921,0.209653
1.39,0.311856,-0.928762,0.200369
1.4,0.31548,-0.929495,0.191078
1.41,0.319106,-0.930122,0.18178
1.42,0.322734,-0.930642,0.172476
1.43,0.326365,-0.931055,0.163167
1.44,0.329997,-0.93136,0.153855
1.45,0.333629,-0.931558,0.14454
1.46,0.337263,-0.931648,0.135224
1.47,0.340896,-0.931631,0.125908
1.48,0.344529,-0.931507,0.116592
1.49,0.348162,-0.931276,0.107278
1.5,0.351793,-0.930937,0.0979668
1.51,0.355423,-0.930491,0.0886596
1.52,0.359051,-0.929938,0.0793574
1.53,0.362676,-0.929278,0.0700612
1.54,0.366299,-0.928511,0.0607722
1.55,0.369918,-0.927636,0.0514913
1.56,0.373534,-0.926655,0.0422198
1.57,0.377146,-0.925567,0.0329586
1.58,0.380754,-0.924373,0.0237088
1.59,0.384356,-0.923071,0.0144715
1.6,0.387953,-0.921664,0.00524772
1.61,0.391545,-0.92015,-0.00396144
1.62,0.39513,-0.918531,-0.0131549
1.63,0.398709,-0.916805,-0.0223317
1.64,0.402281,-0.914974,-0.0314907
1.65,0.405846,-0.913038,-0.0406308
1.66,0.409403,-0.910996,-0.0497511
1.67,0.412952,-0.90885,-0.0588504
1.68,0.416492,-0.906598,-0.0679277
1.69,0.420023,-0.904242,-0.076982
1.7,0.423545,-0.901783,-0.0860122
1.71,0.427057,-0.899219,-0.0950173
1.72,0.430559,-0.896551,-0.103996
1.73,0.43405,-0.893781,-0.112948
1.74,0.43753,-0.890907,-0.121872
1.75,0.440999,-0.88793,-0.130766
1.76,0.444456,-0.884852,-0.13963
1.77,0.4479,-0.881671,-0.148463
1.78,0.451333,-0.878389,-0.157263
1.79,0.454752,-0.875006,-0.16603
1.8,0.458157,-0.871522,-0.174763
1.81,0.461549,-0.867937,-0.18346
1.82,0.464927,-0.864252,-0.192121
1.83,0.46829,-0.860468,-0.200745
1.84,0.471639,-0.856585,-0.20933
1.85,0.474972,-0.852603,-0.217876
1.86,0.478289,-0.848523,-0.226382
1.87,0.48159,-0.844345,-0.234846
1.88,0.484875,-0.84007,-0.243268
1.89,0.488142,-0.835698,-0.251647
1.9,0.491393,-0.831229,-0.259982
