time,p00,p01,p10,p11
1.52,0.25,0,0.137174,0.112826
1.53,0.25,0,0.136066,0.113934
1.54,0.25,0,0.13496,0.11504
1.55,0.25,0,0.133855,0.116145
1.56,0.25,0,0.132753,0.117247
1.57,0.25,0,0.131653,0.118347
1.58,0.25,0,0.130555,0.119445
1.59,0.25,0,0.129459,0.120541
1.6,0.25,0,0.128367,0.121633
1.61,0.25,0,0.127276,0.122724
1.62,0.25,0,0.126189,0.123811
1.63,0.25,0,0.125105,0.124895
1.64,0.25,0,0.124023,0.125977
1.65,0.25,0,0.122945,0.127055
1.66,0.25,0,0.121871,0.128129
1.67,0.25,0,0.1208,0.1292
1.68,0.25,0,0.119732,0.130268
1.69,0.25,0,0.118669,0.131331
1.7,0.25,0,0.117609,0.132391
1.71,0.25,0,0.116553,0.133447
1.72,0.25,0,0.115502,0.134498
1.73,0.25,0,0.114454,0.135546
1.74,0.25,0,0.113412,0.136588
1.75,0.25,0,0.112373,0.137627
1.76,0.25,0,0.11134,0.13866
1.77,0.25,0,0.110311,0.139689
1.78,0.25,0,0.109287,0.140713
1.79,0.25,0,0.108269,0.141731
1.8,0.25,0,0.107255,0.142745
1.81,0.25,0,0.106247,0.143753
1.82,0.25,0,0.105245,0.144755
1.83,0.25,0,0.104248,0.145752
1.84,0.25,0,0.103257,0.146743
1.85,0.25,0,0.102271,0.147729
1.86,0.25,0,0.101292,0.148708
1.87,0.25,0,0.100318,0.149682
1.88,0.25,0,0.0993511,0.150649
1.89,0.25,0,0.0983903,0.15161
1.9,0.25,0,0.0974359,0.152564
1.91,0.25,0,0.0964881,0.153512
1.92,0.25,0,0.095547,0.154453
1.93,0.25,0,0.0946127,0.155387
1.94,0.25,0,0.0936853,0.156315
1.95,0.25,0,0.0927649,0.157235
1.96,0.25,0,0.0918517,0.158148
1.97,0.25,0,0.0909458,0.159054
1.98,0.25,0,0.0900472,0.159953
1.99,0.25,0,0.0891562,0.160844
2,0.25,0,0.0882727,0.161727
2.01,0.25,0,0.087397,0.162603
2.02,0.25,0,0.0865291,0.163471
2.03,0.25,0,0.0856691,0.164331
2.04,0.25,0,0.0848172,0.165183
2.05,0.25,0,0.0839734,0.166027
2.06,0.25,0,0.0831378,0.166862
2.07,0.25,0,0.0823107,0.167689
2.08,0.25,0,0.0814919,0.168508
2.09,0.25,0,0.0806818,0.169318
2.1,0.25,0,0.0798803,0.17012
2.11,0.25,0,0.0790876,0.170912
2.12,0.25,0,0.0783037,0.171696
2.13,0.25,0,0.0775288,0.172471
2.14,0.25,0,0.076763,0.173237
2.15,0.25,0,0.0760063,0.173994
2.16,0.25,0,0.0752589,0.174741
2.17,0.25,0,0.0745208,0.175479
2.18,0.25,0,0.0737921,0.176208
2.19,0.25,0,0.073073,0.176927
2.2,0.25,0,0.0723635,0.177637
2.21,0.25,0,0.0716637,0.178336
2.22,0.25,0,0.0709736,0.179026
2.23,0.25,0,0.0702935,0.179707
2.24,0.25,0,0.0696233,0.180377
2.25,0.25,0,0.0689632,0.181037
2.26,0.25,0,0.0683132,0.181687
2.27,0.25,0,0.0676734,0.182327
2.28,0.25,0,0.0670439,0.182956
2.29,0.25,0,0.0664248,0.183575
2.3,0.25,0,0.0658161,0.184184
2.31,0.25,0,0.0652179,0.184782
2.32,0.25,0,0.0646304,0.18537
2.33,0.25,0,0.0640535,0.185947
2.34,0.25,0,0.0634873,0.186513
2.35,0.25,0,0.062932,0.187068
2.36,0.25,0,0.0623875,0.187612
2.37,0.25,0,0.061854,0.188146
2.38,0.25,0,0.0613315,0.188668
2.39,0.25,0,0.0608201,0.18918
2.4,0.25,0,0.0603199,0.18968
2.41,0.25,0,0.0598309,0.190169
2.42,0.25,0,0.0593531,0.190647
2.43,0.25,0,0.0588866,0.191113
2.44,0.25,0,0.0584316,0.191568
2.45,0.25,0,0.057988,0.192012
2.46,0.25,0,0.0575559,0.192444
2.47,0.25,0,0.0571353,0.192865
2.48,0.25,0,0.0567264,0.193274
2.49,0.25,0,0.0563291,0.193671
2.5,0.25,0,0.0559436,0.194056
2.51,0.25,0,0.0555697,0.19443
2.52,0.25,0,0.0552077,0.194792
2.53,0.25,0,0.0548576,0.195142
2.54,0.25,0,0.0545193,0.195481
2.55,0.25,0,0.054193,0.195807
2.56,0.25,0,0.0538786,0.196121
2.57,0.25,0,0.0535763,0.196424
2.58,0.25,0,0.053286,0.196714
2.59,0.25,0,0.0530078,0.196992
2.6,0.25,0,0.0527417,0.197258
2.61,0.25,0,0.0524878,0.197512
2.62,0.25,0,0.052246,0.197754
2.63,0.25,0,0.0520165,0.197983
2.64,0.25,0,0.0517993,0.198201
2.65,0.25,0,0.0515943,0.198406
2.66,0.25,0,0.0514016,0.198598
2.67,0.25,0,0.0512212,0.198779
2.68,0.25,0,0.0510532,0.198947
2.69,0.25,0,0.0508975,0.199102
2.7,0.25,0,0.0507543,0.199246
2.71,0.25,0,0.0506234,0.199377
2.72,0.25,0,0.050505,0.199495
2.73,0.25,0,0.050399,0.199601
2.74,0.25,0,0.0503054,0.199695
2.75,0.25,0,0.0502244,0.199776
2.76,0.25,0,0.0501557,0.199844
2.77,0.25,0,0.0500996,0.1999
2.78,0.25,0,0.050056,0.199944
2.79,0.25,0,0.0500248,0.199975
2.8,0.25,0,0.0500062,0.199994
2.81,0.25,0,0.05,0.2
2.82,0.25,0,0.0500063,0.199994
2.83,0.25,0,0.0500252,0.199975
2.84,0.25,0,0.0500565,0.199943
2.85,0.25,0,0.0501004,0.1999
2.86,0.25,0,0.0501567,0.199843
2.87,0.25,0,0.0502255,0.199775
2.88,0.25,0,0.0503067,0.199693
2.89,0.25,0,0.0504005,0.1996
2.9,0.25,0,0.0505067,0.199493
2.91,0.25,0,0.0506253,0.199375
2.92,0.25,0,0.0507563,0.199244
2.93,0.25,0,0.0508998,0.1991
2.94,0.25,0,0.0510556,0.198944
2.95,0.25,0,0.0512238,0.198776
2.96,0.25,0,0.0514043,0.198596
2.97,0.25,0,0.0515972,0.198403
2.98,0.25,0,0.0518024,0.198198
2.99,0.25,0,0.0520198,0.19798
3,0.25,0,0.0522495,0.19775
3.01,0.25,0,0.0524914,0.197509
3.02,0.25,0,0.0527455,0.197254
3.03,0.25,0,0.0530118,0.196988
3.04,0.25,0,0.0532902,0.19671
3.05,0.25,0,0.0535806,0.196419
3.06,0.25,0,0.0538832,0.196117
3.07,0.25,0,0.0541977,0.195802
3.08,0.25,0,0.0545242,0.195476
3.09,0.25,0,0.0548627,0.195137
3.1,0.25,0,0.055213,0.194787
3.11,0.25,0,0.0555752,0.194425
3.12,0.25,0,0.0559492,0.194051
3.13,0.25,0,0.0563349,0.193665
3.14,0.25,0,0.0567324,0.193268
3.15,0.25,0,0.0571415,0.192859
3.16,0.25,0,0.0575622,0.192438
3.17,0.25,0,0.0579945,0.192006
3.18,0.25,0,0.0584383,0.191562
3.19,0.25,0,0.0588935,0.191107
3.2,0.25,0,0.0593601,0.19064
3.21,0.25,0,0.059838,0.190162
3.22,0.25,0,0.0603272,0.189673
3.23,0.25,0,0.0608276,0.189172
3.24,0.25,0,0.0613392,0.188661
3.25,0.25,0,0.0618619,0.188138
3.26,0.25,0,0.0623955,0.187604
3.27,0.25,0,0.0629401,0.18706
3.28,0.25,0,0.0634956,0.186504
3.29,0.25,0,0.0640619,0.185938
3.3,0.25,0,0.064639,0.185361
3.31,0.25,0,0.0652267,0.184773
3.32,0.25,0,0.065825,0.184175
3.33,0.25,0,0.0664339,0.183566
3.34,0.25,0,0.0670531,0.182947
3.35,0.25,0,0.0676828,0.182317
3.36,0.25,0,0.0683227,0.181677
3.37,0.25,0,0.0689729,0.181027
3.38,0.25,0,0.0696332,0.180367
3.39,0.25,0,0.0703035,0.179696
3.4,0.25,0,0.0709838,0.179016
3.41,0.25,0,0.071674,0.178326
3.42,0.25,0,0.0723739,0.177626
3.43,0.25,0,0.0730836,0.176916
3.44,0.25,0,0.0738028,0.176197
3.45,0.25,0,0.0745316,0.175468
3.46,0.25,0,0.0752699,0.17473
3.47,0.25,0,0.0760174,0.173983
3.48,0.25,0,0.0767743,0.173226
3.49,0.25,0,0.0775402,0.17246
3.5,0.25,0,0.0783153,0.171685
3.51,0.25,0,0.0790993,0.170901
3.52,0.25,0,0.0798921,0.170108
3.53,0.25,0,0.0806937,0.169306
3.54,0.25,0,0.081504,0.168496
3.55,0.25,0,0.0823229,0.167677
3.56,0.25,0,0.0831502,0.16685
3.57,0.25,0,0.0839858,0.166014
3.58,0.25,0,0.0848297,0.16517
3.59,0.25,0,0.0856818,0.164318
3.6,0.25,0,0.0865419,0.163458
3.61,0.25,0,0.0874099,0.16259
3.62,0.25,0,0.0882858,0.161714
3.63,0.25,0,0.0891693,0.160831
3.64,0.25,0,0.0900605,0.15994
3.65,0.25,0,0.0909591,0.159041
