time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0,-5.07217e-07,-0.00990298,0.999951,-5.07217e-07,-0.00990298,0.999951,-5.07217e-07,-0.00990298,0.999951,-5.07217e-07,-0.00990298,0.999951,-5.07217e-07,-0.00990298,0.999951
0.01,-3.48194e-06,-0.0199113,0.999802,-3.48194e-06,-0.0199113,0.999802,-3.48194e-06,-0.0199113,0.999802,-3.48194e-06,-0.0199113,0.999802,-3.48194e-06,-0.0199113,0.999802
0.02,-1.06799e-05,-0.0298506,0.999554,-1.06799e-05,-0.0298506,0.999554,-1.06799e-05,-0.0298506,0.999554,-1.06799e-05,-0.0298506,0.999554,-1.06799e-05,-0.0298506,0.999554
0.03,-2.47718e-05,-0.0396047,0.999215,-2.47718e-05,-0.0396047,0.999215,-2.47718e-05,-0.0396047,0.999215,-2.47718e-05,-0.0396047,0.999215,-2.47718e-05,-0.0396047,0.999215
0.04,-4.10788e-05,-0.0492986,0.998784,-4.10788e-05,-0.0492986,0.998784,-4.10788e-05,-0.0492986,0.998784,-4.10788e-05,-0.0492986,0.998784,-4.10788e-05,-0.0492986,0.998784
0.05,-5.82792e-05,-0.0588754,0.998265,-5.82792e-05,-0.0588754,0.998265,-5.82792e-05,-0.0588754,0.998265,-5.82792e-05,-0.0588754,0.998265,-5.82792e-05,-0.0588754,0.998265
0.06,-7.54717e-05,-0.0683625,0.997661,-7.54717e-05,-0.0683625,0.997661,-7.54717e-05,-0.0683625,0.997661,-7.54717e-05,-0.0683625,0.997661,-7.54717e-05,-0.0683625,0.997661
0.07,-0.000106481,-0.0779486,0.996957,-0.000106481,-0.0779486,0.996957,-0.000106481,-0.0779486,0.996957,-0.000106481,-0.0779486,0.996957,-0.000106481,-0.0779486,0.996957
0.08,-0.000129852,-0.0874483,0.996169,-0.000129852,-0.0874483,0.996169,-0.000129852,-0.0874483,0.996169,-0.000129852,-0.0874483,0.996169,-0.000129852,-0.0874483,0.996169
0.09,-0.000166144,-0.0968987,0.995294,-0.000166144,-0.0968987,0.995294,-0.000166144,-0.0968987,0.995294,-0.000166144,-0.0968987,0.995294,-0.000166144,-0.0968987,0.995294
0.1,-0.000185158,-0.10647,0.994316,-0.000185158,-0.10647,0.994316,-0.000185158,-0.10647,0.994316,-0.000185158,-0.10647,0.994316,-0.000185158,-0.10647,0.994316
0.11,-0.000218054,-0.116068,0.993241,-0.000218054,-0.116068,0.993241,-0.000218054,-0.116068,0.993241,-0.000218054,-0.116068,0.993241,-0.000218054,-0.116068,0.993241
0.12,-0.000238828,-0.125645,0.992075,-0.000238828,-0.125645,0.992075,-0.000238828,-0.125645,0.992075,-0.000238828,-0.125645,0.992075,-0.000238828,-0.125645,0.992075
0.13,-0.000238278,-0.135056,0.990838,-0.000238278,-0.135056,0.990838,-0.000238278,-0.135056,0.990838,-0.000238278,-0.135056,0.990838,-0.000238278,-0.135056,0.990838
0.14,-0.000217821,-0.144545,0.989498,-0.000217821,-0.144545,0.989498,-0.000217821,-0.144545,0.989498,-0.000217821,-0.144545,0.989498,-0.000217821,-0.144545,0.989498
0.15,-0.000192,-0.153877,0.98809,-0.000192,-0.153877,0.98809,-0.000192,-0.153877,0.98809,-0.000192,-0.153877,0.98809,-0.000192,-0.153877,0.98809
0.16,-0.000153795,-0.163332,0.986571,-0.000153795,-0.163332,0.986571,-0.000153795,-0.163332,0.986571,-0.000153795,-0.163332,0.986571,-0.000153795,-0.163332,0.986571
0.17,-0.00010428,-0.172921,0.984936,-0.00010428,-0.172921,0.984936,-0.00010428,-0.172921,0.984936,-0.00010428,-0.172921,0.984936,-0.00010428,-0.172921,0.984936
0.18,-4.42496e-05,-0.18257,0.983193,-4.42496e-05,-0.18257,0.983193,-4.42496e-05,-0.18257,0.983193,-4.42496e-05,-0.18257,0.983193,-4.42496e-05,-0.18257,0.983193
0.19,1.347e-06,-0.192169,0.981362,1.347e-06,-0.192169,0.981362,1.347e-06,-0.192169,0.981362,1.347e-06,-0.192169,0.981362,1.347e-06,-0.192169,0.981362
0.2,6.63053e-05,-0.20185,0.979416,6.63053e-05,-0.20185,0.979416,6.63053e-05,-0.20185,0.979416,6.63053e-05,-0.20185,0.979416,6.63053e-05,-0.20185,0.979416
0.21,0.000126273,-0.211519,0.977374,0.000126273,-0.211519,0.977374,0.000126273,-0.211519,0.977374,0.000126273,-0.211519,0.977374,0.000126273,-0.211519,0.977374
