time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0.085,-6.04321e-05,-0.0789535,0.996878,0,0,1,0,0,1
0.086,-5.92264e-05,-0.0798073,0.99681,0,0,1,0,0,1
0.087,-5.77968e-05,-0.0806644,0.996741,0,0,1,0,0,1
0.088,-5.71267e-05,-0.0815331,0.996671,0,0,1,0,0,1
0.089,-5.60229e-05,-0.0824008,0.996599,0,0,1,0,0,1
0.09,-5.56345e-05,-0.0832775,0.996526,0,0,1,0,0,1
0.091,-5.53928e-05,-0.0841515,0.996453,0,0,1,0,0,1
0.092,-5.47932e-05,-0.0850321,0.996378,0,0,1,0,0,1
0.093,-5.38538e-05,-0.0858937,0.996304,0,0,1,0,0,1
0.094,-5.257e-05,-0.0867546,0.99623,0,0,1,0,0,1
0.095,-5.22821e-05,-0.0876131,0.996155,0,0,1,0,0,1
0.096,-5.1309e-05,-0.0884806,0.996078,0,0,1,0,0,1
0.097,-5.07554e-05,-0.0893466,0.996001,0,0,1,0,0,1
0.098,-5.05786e-05,-0.0902078,0.995923,0,0,1,0,0,1
0.099,-4.8595e-05,-0.091074,0.995844,0,0,1,0,0,1
0.1,-4.68237e-05,-0.091929,0.995766,0,0,1,0,0,1
0.101,-4.39631e-05,-0.0927903,0.995686,0,0,1,0,0,1
0.102,-4.11646e-05,-0.0936651,0.995604,0,0,1,0,0,1
0.103,-3.74438e-05,-0.0945405,0.995521,0,0,1,0,0,1
0.104,-3.38591e-05,-0.0954056,0.995438,0,0,1,0,0,1
0.105,-3.18513e-05,-0.0962658,0.995356,0,0,1,0,0,1
0.106,-2.99237e-05,-0.097118,0.995273,0,0,1,0,0,1
0.107,-2.98448e-05,-0.0979841,0.995188,0,0,1,0,0,1
0.108,-3.04658e-05,-0.0988637,0.995101,0,0,1,0,0,1
0.109,-3.06816e-05,-0.0997415,0.995013,0,0,1,0,0,1
0.11,-2.87178e-05,-0.100626,0.994924,0,0,1,0,0,1
0.111,-2.55183e-05,-0.101511,0.994834,0,0,1,0,0,1
0.112,-2.09635e-05,-0.102408,0.994742,0,0,1,0,0,1
0.113,-1.62988e-05,-0.103285,0.994652,0,0,1,0,0,1
0.114,-1.12892e-05,-0.104158,0.994561,0,0,1,0,0,1
0.115,-6.16887e-06,-0.105009,0.994471,0,0,1,0,0,1
0.116,-1.21804e-06,-0.105845,0.994383,0,0,1,0,0,1
0.117,3.29282e-06,-0.106675,0.994294,0,0,1,0,0,1
0.118,7.88851e-06,-0.107513,0.994204,0,0,1,0,0,1
0.119,1.24066e-05,-0.108338,0.994114,0,0,1,0,0,1
0.12,1.57798e-05,-0.109167,0.994023,0,0,1,0,0,1
0.121,2.13205e-05,-0.109999,0.993932,0,0,1,0,0,1
0.122,2.69157e-05,-0.110795,0.993843,0,0,1,0,0,1
0.123,3.26443e-05,-0.11159,0.993754,0,0,1,0,0,1
0.124,3.96915e-05,-0.112366,0.993667,0,0,1,0,0,1
0.125,4.90668e-05,-0.11314,0.993579,0,0,1,0,0,1
0.126,5.68032e-05,-0.113902,0.993492,0,0,1,0,0,1
0.127,6.41776e-05,-0.114658,0.993405,0,0,1,0,0,1
0.128,7.33868e-05,-0.115415,0.993317,0,0,1,0,0,1
0.129,8.06392e-05,-0.116181,0.993228,0,0,1,0,0,1
0.13,8.87298e-05,-0.116935,0.99314,0,0,1,0,0,1
0.131,9.56962e-05,-0.117682,0.993051,0,0,1,0,0,1
0.132,0.000102299,-0.118432,0.992962,0,0,1,0,0,1
0.133,0.000108835,-0.119173,0.992873,0,0,1,0,0,1
0.134,0.000115663,-0.119905,0.992785,0,0,1,0,0,1
0.135,0.000120777,-0.120648,0.992695,0,0,1,0,0,1
0.136,0.000125684,-0.121398,0.992604,0,0,1,0,0,1
0.137,0.000130533,-0.122142,0.992513,0,0,1,0,0,1
0.138,0.000135748,-0.122887,0.992421,0,0,1,0,0,1
0.139,0.000141441,-0.123633,0.992328,0,0,1,0,0,1
0.14,0.000146645,-0.124405,0.992232,0,0,1,0,0,1
0.141,0.000152241,-0.125168,0.992136,0,0,1,0,0,1
0.142,0.000159308,-0.125929,0.992039,0,0,1,0,0,1
0.143,0.000165906,-0.126692,0.991942,0,0,1,0,0,1
0.144,0.000173867,-0.127441,0.991846,0,0,1,0,0,1
0.145,0.000182581,-0.128191,0.99175,0,0,1,0,0,1
0.146,0.000189868,-0.128935,0.991653,0,0,1,0,0,1
0.147,0.000196977,-0.129673,0.991557,0,0,1,0,0,1
0.148,0.00020532,-0.130419,0.991459,0,0,1,0,0,1
0.149,0.000214757,-0.131164,0.991361,0,0,1,0,0,1
0.15,0.000223558,-0.131921,0.99126,0,0,1,0,0,1
0.151,0.000233695,-0.132659,0.991162,0,0,1,0,0,1
0.152,0.000243906,-0.13339,0.991064,0,0,1,0,0,1
0.153,0.000252905,-0.134106,0.990967,0,0,1,0,0,1
0.154,0.000264432,-0.134811,0.990871,0,0,1,0,0,1
0.155,0.000277302,-0.13551,0.990776,0,0,1,0,0,1
0.156,0.000290599,-0.136198,0.990682,0,0,1,0,0,1
0.157,0.000305124,-0.136894,0.990586,0,0,1,0,0,1
0.158,0.000320258,-0.137588,0.990489,0,0,1,0,0,1
0.159,0.00033396,-0.138283,0.990393,0,0,1,0,0,1
0.16,0.000347964,-0.138983,0.990295,0,0,1,0,0,1
0.161,0.000363269,-0.139694,0.990195,0,0,1,0,0,1
0.162,0.000377575,-0.140398,0.990095,0,0,1,0,0,1
0.163,0.000390076,-0.141102,0.989995,0,0,1,0,0,1
0.164,0.000405243,-0.141785,0.989897,0,0,1,0,0,1
0.165,0.000418963,-0.142463,0.9898,0,0,1,0,0,1
0.166,0.00043215,-0.14314,0.989702,0,0,1,0,0,1
0.167,0.000447286,-0.143815,0.989604,0,0,1,0,0,1
0.168,0.000462965,-0.144483,0.989507,0,0,1,0,0,1
0.169,0.000475852,-0.145149,0.98941,0,0,1,0,0,1
0.17,0.000485907,-0.145809,0.989313,0,0,1,0,0,1
0.171,0.000496162,-0.146479,0.989214,0,0,1,0,0,1
0.172,0.000506914,-0.147145,0.989115,0,0,1,0,0,1
0.173,0.000519149,-0.147798,0.989017,0,0,1,0,0,1
0.174,0.000532454,-0.148444,0.988921,0,0,1,0,0,1
0.175,0.000546016,-0.149089,0.988824,0,0,1,0,0,1
0.176,0.000559443,-0.149742,0.988725,0,0,1,0,0,1
0.177,0.000574307,-0.150388,0.988627,0,0,1,0,0,1
0.178,0.000591874,-0.151042,0.988527,0,0,1,0,0,1
0.179,0.000607699,-0.151699,0.988427,0,0,1,0,0,1
0.18,0.000625429,-0.152357,0.988325,0,0,1,0,0,1
0.181,0.000644774,-0.153008,0.988225,0,0,1,0,0,1
0.182,0.000662863,-0.153658,0.988124,0,0,1,0,0,1
0.183,0.000681912,-0.154308,0.988022,0,0,1,0,0,1
0.184,0.000700587,-0.154943,0.987923,0,0,1,0,0,1
0.185,0.000719099,-0.155579,0.987823,0,0,1,0,0,1
0.186,0.000736129,-0.156213,0.987723,0,0,1,0,0,1
0.187,0.000751994,-0.156847,0.987623,0,0,1,0,0,1
0.188,0.000765837,-0.157465,0.987524,0,0,1,0,0,1
0.189,0.000779349,-0.158082,0.987426,0,0,1,0,0,1
0.19,0.000790108,-0.158715,0.987324,0,0,1,0,0,1
0.191,0.000802525,-0.159337,0.987224,0,0,1,0,0,1
0.192,0.000814513,-0.159951,0.987125,0,0,1,0,0,1
0.193,0.000828357,-0.160555,0.987027,0,0,1,0,0,1
0.194,0.000841159,-0.16118,0.986925,0,0,1,0,0,1
0.195,0.000852245,-0.161812,0.986821,0,0,1,0,0,1
0.196,0.000863859,-0.162449,0.986717,0,0,1,0,0,1
0.197,0.000875103,-0.163076,0.986613,0,0,1,0,0,1
0.198,0.000886987,-0.163687,0.986512,0,0,1,0,0,1
0.199,0.000900075,-0.164297,0.98641,0,0,1,0,0,1
0.2,0.000910501,-0.164899,0.98631,0,0,1,0,0,1
0.201,0.000924804,-0.165519,0.986206,0,0,1,0,0,1
0.202,0.000937181,-0.166138,0.986102,0,0,1,0,0,1
0.203,0.000950149,-0.166781,0.985993,0,0,1,0,0,1
0.204,0.000964596,-0.167428,0.985884,0,0,1,0,0,1
0.205,0.000982059,-0.168072,0.985774,0,0,1,0,0,1
0.206,0.000999668,-0.168726,0.985663,0,0,1,0,0,1
