time,x,y,z
0,0,0,1
0.001,-1.25e-08,-0.001,1
0.002,-5e-08,-0.002,0.999998
0.003,-1.125e-07,-0.003,0.999996
0.004,-2e-07,-0.00399999,0.999992
0.005,-3.12499e-07,-0.00499998,0.999988
0.006,-4.49999e-07,-0.00599996,0.999982
0.007,-6.12497e-07,-0.00699994,0.999976
0.008,-7.99996e-07,-0.00799991,0.999968
0.009,-1.01249e-06,-0.00899988,0.99996
0.01,-1.24999e-06,-0.00999983,0.99995
0.011,-1.51248e-06,-0.0109998,0.99994
0.012,-1.79998e-06,-0.0119997,0.999928
0.013,-2.11247e-06,-0.0129996,0.999916
0.014,-2.44996e-06,-0.0139995,0.999902
0.015,-2.81245e-06,-0.0149994,0.999888
0.016,-3.19993e-06,-0.0159993,0.999872
0.017,-3.61241e-06,-0.0169992,0.999856
0.018,-4.04989e-06,-0.017999,0.999838
0.019,-4.51236e-06,-0.0189989,0.99982
0.02,-4.99983e-06,-0.0199987,0.9998
0.021,-5.5123e-06,-0.0209985,0.99978
0.022,-6.04976e-06,-0.0219982,0.999758
0.023,-6.61221e-06,-0.022998,0.999736
0.024,-7.19965e-06,-0.0239977,0.999712
0.025,-7.81209e-06,-0.0249974,0.999688
0.026,-8.44952e-06,-0.0259971,0.999662
0.027,-9.11195e-06,-0.0269967,0.999636
0.028,-9.79936e-06,-0.0279963,0.999608
0.029,-1.05118e-05,-0.0289959,0.99958
0.03,-1.12492e-05,-0.0299955,0.99955
0.031,-1.20115e-05,-0.030995,0.99952
0.032,-1.27989e-05,-0.0319945,0.999488
0.033,-1.36113e-05,-0.032994,0.999456
0.034,-1.44486e-05,-0.0339934,0.999422
0.035,-1.53109e-05,-0.0349929,0.999388
0.036,-1.61982e-05,-0.0359922,0.999352
0.037,-1.71105e-05,-0.0369916,0.999316
0.038,-1.80478e-05,-0.0379908,0.999278
0.039,-1.90101e-05,-0.0389901,0.99924
0.04,-1.99973e-05,-0.0399893,0.9992
0.041,-2.10096e-05,-0.0409885,0.99916
0.042,-2.20468e-05,-0.0419876,0.999118
