time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
3.47,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00176926,-0.334717,0.942317,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.57,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00261678,-0.42046,0.907307,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.67,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00286045,-0.506836,0.862038,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.77,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00232952,-0.587865,0.808956,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.87,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00148755,-0.663098,0.748531,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3.97,-0.0635942,-0.0224894,-0.997722,0,0,1,0.00173843,-0.731763,0.681557,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.07,-0.0635942,-0.0224894,-0.997722,0,0,1,0.000342468,-0.793619,0.608415,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.17,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.00169794,-0.847839,0.530251,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.27,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.00619105,-0.895238,0.445545,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.37,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0108374,-0.934824,0.354945,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.47,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0142715,-0.964711,0.262924,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.57,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0163205,-0.985467,0.169083,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.67,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020092,-0.997133,0.0729561,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.77,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0278066,-0.999231,-0.0276549,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.87,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0365256,-0.991075,-0.128204,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
4.97,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0461434,-0.972406,-0.228688,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.07,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0520911,-0.944319,-0.324881,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.17,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0599144,-0.907111,-0.416605,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.27,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0622015,-0.861646,-0.503683,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.37,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0580883,-0.809791,-0.583836,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.47,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0517305,-0.749865,-0.659566,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.57,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0438445,-0.680401,-0.731527,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.67,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0385852,-0.601356,-0.798049,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.77,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0341818,-0.516393,-0.855669,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.87,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0296915,-0.426274,-0.904107,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5.97,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0258737,-0.331067,-0.943252,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.07,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.022916,-0.234714,-0.971794,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.17,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0214366,-0.135874,-0.990494,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.27,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.0204772,-0.0339448,-0.999214,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.36,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,3.51582e-05,-0.0887394,0.996055,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.46,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.000112584,-0.184058,0.982915,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.56,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.00072261,-0.279771,0.960067,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.66,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.00124685,-0.372821,0.927902,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.76,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.00349807,-0.46346,0.886111,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.86,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.00809173,-0.548338,0.836218,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0110665,-0.628343,0.777857,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.06,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0104151,-0.703682,0.710439,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.16,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0114805,-0.771428,0.636213,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.26,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0140478,-0.832062,0.554505,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.36,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0146956,-0.883932,0.467384,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.46,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0169712,-0.926988,0.374706,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.56,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0184786,-0.960485,0.277717,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.66,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0203448,-0.983263,0.181052,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.76,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0189994,-0.99638,0.0828566,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.86,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0218947,-0.999639,-0.0155849,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
7.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0294578,-0.993048,-0.113965,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.06,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0380374,-0.976074,-0.214087,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.16,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0425109,-0.949833,-0.309854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.26,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0472758,-0.915326,-0.399929,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.36,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0510823,-0.87274,-0.485505,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.46,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0522666,-0.82095,-0.568603,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.56,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0543464,-0.759914,-0.647748,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.66,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0527066,-0.689415,-0.722447,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.76,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.049136,-0.610491,-0.790498,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.86,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0453449,-0.526898,-0.848718,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
8.96,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0418208,-0.438507,-0.897754,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.06,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.037467,-0.340612,-0.939457,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.16,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0338853,-0.234682,-0.971481,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.26,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0321459,-0.13154,-0.99079,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.36,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316759,-0.0310734,-0.999015,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
9.45,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-4.30656e-06,-0.039884,0.999204,0,0,1,0,0,1,0,0,1
9.55,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.000276514,-0.139485,0.990224,0,0,1,0,0,1,0,0,1
9.65,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.000845518,-0.239411,0.970918,0,0,1,0,0,1,0,0,1
9.75,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0013584,-0.333311,0.942816,0,0,1,0,0,1,0,0,1
9.85,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00344705,-0.42351,0.905885,0,0,1,0,0,1,0,0,1
