time,x,y,z
0,0,0,1
0.001,-5e-09,-0.001,1
0.002,-2e-08,-0.002,0.999998
0.003,-4.5e-08,-0.003,0.999996
0.004,-7.99999e-08,-0.00399999,0.999992
0.005,-1.25e-07,-0.00499998,0.999988
0.006,-1.79999e-07,-0.00599996,0.999982
0.007,-2.44999e-07,-0.00699994,0.999976
0.008,-3.19998e-07,-0.00799991,0.999968
0.009,-4.04997e-07,-0.00899988,0.99996
0.01,-4.99996e-07,-0.00999983,0.99995
0.011,-6.04994e-07,-0.0109998,0.99994
0.012,-7.19991e-07,-0.0119997,0.999928
0.013,-8.44988e-07,-0.0129996,0.999916
0.014,-9.79984e-07,-0.0139995,0.999902
0.015,-1.12498e-06,-0.0149994,0.999888
0.016,-1.27997e-06,-0.0159993,0.999872
0.017,-1.44497e-06,-0.0169992,0.999856
0.018,-1.61996e-06,-0.017999,0.999838
0.019,-1.80495e-06,-0.0189989,0.99982
0.02,-1.99993e-06,-0.0199987,0.9998
0.021,-2.20492e-06,-0.0209985,0.99978
0.022,-2.4199e-06,-0.0219982,0.999758
0.023,-2.64488e-06,-0.022998,0.999736
0.024,-2.87986e-06,-0.0239977,0.999712
0.025,-3.12484e-06,-0.0249974,0.999688
0.026,-3.37981e-06,-0.0259971,0.999662
0.027,-3.64478e-06,-0.0269967,0.999636
0.028,-3.91974e-06,-0.0279963,0.999608
0.029,-4.20471e-06,-0.0289959,0.99958
0.03,-4.49966e-06,-0.0299955,0.99955
0.031,-4.80462e-06,-0.030995,0.99952
0.032,-5.11956e-06,-0.0319945,0.999488
0.033,-5.44451e-06,-0.032994,0.999456
0.034,-5.77944e-06,-0.0339934,0.999422
0.035,-6.12437e-06,-0.0349929,0.999388
0.036,-6.4793e-06,-0.0359922,0.999352
0.037,-6.84422e-06,-0.0369916,0.999316
0.038,-7.21913e-06,-0.0379909,0.999278
0.039,-7.60404e-06,-0.0389901,0.99924
0.04,-7.99893e-06,-0.0399893,0.9992
0.041,-8.40382e-06,-0.0409885,0.99916
0.042,-8.8187e-06,-0.0419877,0.999118
0.043,-9.24358e-06,-0.0429867,0.999076
0.044,-9.67844e-06,-0.0439858,0.999032
0.045,-1.01233e-05,-0.0449848,0.998988
0.046,-1.05781e-05,-0.0459838,0.998942
