time,x,y,z,microwave_val
0.115,0.114754,-0.00125978,0.993591,-0.912764
0.116,0.115743,-0.00161047,0.993476,-0.916803
0.117,0.116735,-0.0017041,0.993359,-0.920751
0.118,0.117723,-0.00204072,0.993245,-0.924606
0.119,0.118716,-0.00203757,0.993127,-0.928369
0.12,0.11971,-0.00204239,0.993008,-0.932039
0.121,0.120685,-0.00290627,0.99289,-0.935616
0.122,0.121691,-0.00230163,0.992771,-0.939099
0.123,0.122679,-0.00257671,0.992654,-0.942489
0.124,0.123676,-0.00236641,0.992531,-0.945784
0.125,0.124664,-0.00260792,0.992411,-0.948985
0.126,0.125665,-0.00219003,0.99229,-0.95209
0.127,0.12666,-0.00200903,0.992164,-0.955101
0.128,0.127649,-0.00215862,0.992035,-0.958016
0.129,0.128648,-0.00179502,0.991911,-0.960835
0.13,0.129633,-0.00220106,0.99178,-0.963558
0.131,0.130627,-0.00204409,0.991651,-0.966185
0.132,0.131614,-0.00236503,0.991522,-0.968715
0.133,0.132601,-0.0025986,0.991392,-0.971148
0.134,0.133575,-0.00338288,0.99126,-0.973485
0.135,0.134564,-0.00345658,0.991127,-0.975723
0.136,0.135548,-0.0037582,0.990997,-0.977865
0.137,0.136539,-0.00378167,0.990862,-0.979908
0.138,0.137531,-0.0037531,0.990734,-0.981854
0.139,0.138533,-0.00334665,0.990596,-0.983701
0.14,0.139497,-0.00428455,0.990457,-0.98545
0.141,0.140492,-0.00414694,0.990318,-0.9871
0.142,0.141495,-0.00370005,0.990178,-0.988652
0.143,0.142456,-0.00471328,0.990044,-0.990105
0.144,0.143466,-0.00405947,0.989901,-0.991458
0.145,0.144455,-0.00409337,0.989758,-0.992713
0.146,0.14546,-0.00350894,0.989613,-0.993868
0.147,0.146447,-0.00359574,0.989467,-0.994924
0.148,0.14744,-0.00346118,0.989321,-0.995881
0.149,0.148432,-0.0033325,0.989173,-0.996738
0.15,0.149427,-0.0030887,0.989026,-0.997495
0.151,0.150417,-0.00307086,0.988877,-0.998152
0.152,0.151401,-0.0032729,0.988725,-0.99871
0.153,0.152397,-0.00290406,0.988573,-0.999168
0.154,0.153381,-0.00311957,0.988419,-0.999526
0.155,0.154367,-0.00325465,0.988269,-0.999784
0.156,0.155362,-0.00295398,0.988117,-0.999942
0.157,0.156352,-0.0028349,0.987963,-1
0.158,0.157336,-0.00307521,0.98781,-0.999958
0.159,0.158343,-0.00190884,0.987654,-0.999816
0.16,0.159315,-0.00292074,0.987497,-0.999574
0.161,0.160311,-0.00241527,0.987337,-0.999232
0.162,0.161308,-0.00169209,0.987177,-0.99879
0.163,0.162291,-0.00208947,0.987017,-0.998248
0.164,0.16328,-0.00190475,0.986852,-0.997606
