time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0,1.33784e-07,-0.0102088,0.999948,1.33784e-07,-0.0102088,0.999948,1.33784e-07,-0.0102088,0.999948,1.33784e-07,-0.0102088,0.999948,1.33784e-07,-0.0102088,0.999948
0.01,-1.65386e-06,-0.0204529,0.999791,-1.65386e-06,-0.0204529,0.999791,-1.65386e-06,-0.0204529,0.999791,-1.65386e-06,-0.0204529,0.999791,-1.65386e-06,-0.0204529,0.999791
0.02,-6.97189e-07,-0.0305858,0.999532,-6.97189e-07,-0.0305858,0.999532,-6.97189e-07,-0.0305858,0.999532,-6.97189e-07,-0.0305858,0.999532,-6.97189e-07,-0.0305858,0.999532
0.03,2.53645e-06,-0.0408454,0.999165,2.53645e-06,-0.0408454,0.999165,2.53645e-06,-0.0408454,0.999165,2.53645e-06,-0.0408454,0.999165,2.53645e-06,-0.0408454,0.999165
0.04,6.16196e-06,-0.0509897,0.998699,6.16196e-06,-0.0509897,0.998699,6.16196e-06,-0.0509897,0.998699,6.16196e-06,-0.0509897,0.998699,6.16196e-06,-0.0509897,0.998699
0.05,9.75848e-06,-0.0611786,0.998127,9.75848e-06,-0.0611786,0.998127,9.75848e-06,-0.0611786,0.998127,9.75848e-06,-0.0611786,0.998127,9.75848e-06,-0.0611786,0.998127
0.06,1.88364e-05,-0.0713816,0.997449,1.88364e-05,-0.0713816,0.997449,1.88364e-05,-0.0713816,0.997449,1.88364e-05,-0.0713816,0.997449,1.88364e-05,-0.0713816,0.997449
0.07,2.65651e-05,-0.0815552,0.996669,2.65651e-05,-0.0815552,0.996669,2.65651e-05,-0.0815552,0.996669,2.65651e-05,-0.0815552,0.996669,2.65651e-05,-0.0815552,0.996669
0.08,2.85868e-05,-0.0919065,0.995768,2.85868e-05,-0.0919065,0.995768,2.85868e-05,-0.0919065,0.995768,2.85868e-05,-0.0919065,0.995768,2.85868e-05,-0.0919065,0.995768
0.09,2.86521e-05,-0.10224,0.99476,2.86521e-05,-0.10224,0.99476,2.86521e-05,-0.10224,0.99476,2.86521e-05,-0.10224,0.99476,2.86521e-05,-0.10224,0.99476
0.1,4.70186e-05,-0.112559,0.993645,4.70186e-05,-0.112559,0.993645,4.70186e-05,-0.112559,0.993645,4.70186e-05,-0.112559,0.993645,4.70186e-05,-0.112559,0.993645
0.11,8.37493e-05,-0.122761,0.992436,8.37493e-05,-0.122761,0.992436,8.37493e-05,-0.122761,0.992436,8.37493e-05,-0.122761,0.992436,8.37493e-05,-0.122761,0.992436
0.12,0.000142277,-0.132861,0.991135,0.000142277,-0.132861,0.991135,0.000142277,-0.132861,0.991135,0.000142277,-0.132861,0.991135,0.000142277,-0.132861,0.991135
0.13,0.000223808,-0.142876,0.989741,0.000223808,-0.142876,0.989741,0.000223808,-0.142876,0.989741,0.000223808,-0.142876,0.989741,0.000223808,-0.142876,0.989741
