time,x,y,z
0,0,0,1
0.01,2.54997e-05,-0.00999979,0.99995
0.02,0.000101996,-0.0199983,0.9998
0.03,0.000229478,-0.0299943,0.99955
0.04,0.000407931,-0.0399866,0.9992
0.05,0.000637333,-0.0499738,0.99875
0.06,0.000917653,-0.0599546,0.998201
0.07,0.00124886,-0.069928,0.997551
0.08,0.0016309,-0.0798925,0.996802
0.09,0.00206374,-0.089847,0.995953
0.1,0.00254732,-0.0997901,0.995005
0.11,0.00308158,-0.109721,0.993958
0.12,0.00366645,-0.119637,0.992811
0.13,0.00430186,-0.129539,0.991565
0.14,0.00498772,-0.139424,0.99022
0.15,0.00572396,-0.149292,0.988777
0.16,0.00651047,-0.159141,0.987234
0.17,0.00734716,-0.16897,0.985594
0.18,0.00823393,-0.178778,0.983855
0.19,0.00917066,-0.188563,0.982018
0.2,0.0101572,-0.198324,0.980084
0.21,0.0111935,-0.20806,0.978052
0.22,0.0122794,-0.217771,0.975923
0.23,0.0134147,-0.227453,0.973697
0.24,0.0145994,-0.237107,0.971374
0.25,0.0158332,-0.246731,0.968955
0.26,0.017116,-0.256324,0.966439
0.27,0.0184476,-0.265885,0.963828
0.28,0.019828,-0.275412,0.961122
0.29,0.0212568,-0.284905,0.95832
0.3,0.0227339,-0.294362,0.955424
0.31,0.0242592,-0.303781,0.952433
0.32,0.0258324,-0.313162,0.949348
0.33,0.0274534,-0.322504,0.94617
0.34,0.0291219,-0.331805,0.942898
0.35,0.0308377,-0.341065,0.939534
0.36,0.0326007,-0.350281,0.936077
0.37,0.0344105,-0.359453,0.932528
0.38,0.036267,-0.36858,0.928888
0.39,0.03817,-0.377661,0.925157
0.4,0.0401191,-0.386694,0.921335
0.41,0.0421142,-0.395678,0.917423
0.42,0.0441549,-0.404612,0.913422
0.43,0.0462411,-0.413496,0.909331
0.44,0.0483725,-0.422327,0.905152
0.45,0.0505488,-0.431105,0.900885
0.46,0.0527697,-0.439829,0.89653
0.47,0.0550349,-0.448497,0.892088
0.48,0.0573442,-0.457109,0.88756
0.49,0.0596973,-0.465663,0.882946
0.5,0.0620939,-0.474158,0.878247
0.51,0.0645336,-0.482594,0.873463
0.52,0.0670163,-0.490969,0.868596
0.53,0.0695414,-0.499282,0.863644
0.54,0.0721088,-0.507532,0.85861
0.55,0.0747181,-0.515718,0.853494
0.56,0.077369,-0.52384,0.848296
0.57,0.0800612,-0.531895,0.843017
0.58,0.0827943,-0.539883,0.837658
0.59,0.0855679,-0.547803,0.83222
0.6,0.0883817,-0.555654,0.826702
0.61,0.0912354,-0.563435,0.821107
0.62,0.0941287,-0.571145,0.815434
0.63,0.097061,-0.578784,0.809684
0.64,0.100032,-0.586349,0.803859
0.65,0.103042,-0.59384,0.797958
0.66,0.106089,-0.601257,0.791982
0.67,0.109174,-0.608597,0.785933
0.68,0.112297,-0.615861,0.77981
0.69,0.115456,-0.623048,0.773616
0.7,0.118652,-0.630156,0.76735
0.71,0.121883,-0.637184,0.761013
0.72,0.125151,-0.644133,0.754606
0.73,0.128453,-0.651,0.74813
0.74,0.131791,-0.657785,0.741586
0.75,0.135163,-0.664487,0.734975
0.76,0.138569,-0.671105,0.728297
0.77,0.142008,-0.677639,0.721553
0.78,0.14548,-0.684088,0.714745
0.79,0.148985,-0.69045,0.707872
0.8,0.152523,-0.696725,0.700936
0.81,0.156092,-0.702912,0.693938
0.82,0.159692,-0.709011,0.686878
0.83,0.163324,-0.715021,0.679758
0.84,0.166985,-0.72094,0.672578
0.85,0.170677,-0.726769,0.665339
0.86,0.174398,-0.732506,0.658043
0.87,0.178148,-0.738151,0.650689
0.88,0.181927,-0.743702,0.64328
0.89,0.185734,-0.74916,0.635816
0.9,0.189568,-0.754524,0.628297
0.91,0.19343,-0.759793,0.620725
0.92,0.197318,-0.764965,0.613102
0.93,0.201233,-0.770042,0.605426
0.94,0.205172,-0.775021,0.597701
0.95,0.209138,-0.779903,0.589926
0.96,0.213127,-0.784686,0.582103
0.97,0.217141,-0.789371,0.574233
0.98,0.221179,-0.793956,0.566316
0.99,0.225239,-0.798441,0.558354
1,0.229323,-0.802825,0.550348
1.01,0.233428,-0.807109,0.542298
1.02,0.237555,-0.81129,0.534206
1.03,0.241703,-0.815369,0.526073
1.04,0.245872,-0.819346,0.517899
1.05,0.25006,-0.823219,0.509686
1.06,0.254268,-0.826989,0.501435
1.07,0.258495,-0.830654,0.493147
1.08,0.262741,-0.834215,0.484822
1.09,0.267004,-0.837671,0.476463
1.1,0.271285,-0.841021,0.468069
1.11,0.275582,-0.844265,0.459643
1.12,0.279896,-0.847403,0.451184
1.13,0.284226,-0.850433,0.442695
1.14,0.28857,-0.853357,0.434176
1.15,0.29293,-0.856173,0.425628
1.16,0.297303,-0.858882,0.417053
1.17,0.30169,-0.861482,0.408451
1.18,0.30609,-0.863973,0.399823
1.19,0.310502,-0.866356,0.391172
1.2,0.314927,-0.86863,0.382497
1.21,0.319362,-0.870794,0.373799
1.22,0.323809,-0.872848,0.365081
1.23,0.328265,-0.874792,0.356343
1.24,0.332731,-0.876627,0.347586
1.25,0.337207,-0.87835,0.338811
1.26,0.34169,-0.879963,0.330019
1.27,0.346182,-0.881465,0.321212
1.28,0.350681,-0.882856,0.31239
1.29,0.355187,-0.884136,0.303555
1.3,0.359699,-0.885304,0.294708
1.31,0.364217,-0.886361,0.285849
1.32,0.36874,-0.887306,0.276981
1.33,0.373267,-0.88814,0.268104
1.34,0.377799,-0.888861,0.259218
1.35,0.382333,-0.88947,0.250327
1.36,0.386871,-0.889968,0.241429
1.37,0.391411,-0.890353,0.232528
1.38,0.395952,-0.890626,0.223623
1.39,0.400495,-0.890787,0.214716
1.4,0.405038,-0.890835,0.205807
1.41,0.409581,-0.890771,0.196899
1.42,0.414124,-0.890595,0.187992
1.43,0.418665,-0.890307,0.179088
1.44,0.423205,-0.889907,0.170187
1.45,0.427742,-0.889394,0.16129
1.46,0.432276,-0.88877,0.152399
1.47,0.436807,-0.888033,0.143515
1.48,0.441334,-0.887185,0.134639
1.49,0.445856,-0.886224,0.125772
1.5,0.450374,-0.885152,0.116915
1.51,0.454885,-0.883969,0.108069
1.52,0.45939,-0.882674,0.0992356
1.53,0.463888,-0.881268,0.0904158
1.54,0.468379,-0.879751,0.0816106
1.55,0.472861,-0.878123,0.0728212
1.56,0.477335,-0.876384,0.0640486
1.57,0.4818,-0.874535,0.0552939
1.58,0.486255,-0.872576,0.0465582
1.59,0.4907,-0.870506,0.0378427
1.6,0.495134,-0.868327,0.0291485
1.61,0.499557,-0.866039,0.0204765
1.62,0.503968,-0.863642,0.011828
1.63,0.508366,-0.861135,0.00320407
1.64,0.512751,-0.85852,-0.0053943
1.65,0.517123,-0.855797,-0.013966
1.66,0.52148,-0.852967,-0.0225099
1.67,0.525823,-0.850028,-0.0310249
1.68,0.53015,-0.846983,-0.0395101
1.69,0.534462,-0.843831,-0.0479642
1.7,0.538757,-0.840572,-0.0563863
1.71,0.543035,-0.837208,-0.0647753
1.72,0.547296,-0.833738,-0.0731301
1.73,0.551539,-0.830163,-0.0814497
1.74,0.555764,-0.826483,-0.0897331
1.75,0.559969,-0.822699,-0.0979791
1.76,0.564155,-0.818812,-0.106187
1.77,0.568321,-0.814822,-0.114355
1.78,0.572466,-0.810728,-0.122483
1.79,0.57659,-0.806533,-0.130569
1.8,0.580693,-0.802236,-0.138613
1.81,0.584773,-0.797838,-0.146614
1.82,0.58883,-0.793339,-0.15457
1.83,0.592865,-0.78874,-0.16248
1.84,0.596875,-0.784042,-0.170344
1.85,0.600862,-0.779246,-0.178161
1.86,0.604824,-0.774351,-0.185929
1.87,0.60876,-0.769358,-0.193647
1.88,0.612671,-0.764269,-0.201315
1.89,0.616555,-0.759083,-0.208932
1.9,0.620413,-0.753801,-0.216497
1.91,0.624244,-0.748425,-0.224008
1.92,0.628047,-0.742954,-0.231465
1.93,0.631822,-0.73739,-0.238867
1.94,0.635568,-0.731732,-0.246212
1.95,0.639286,-0.725983,-0.253501
1.96,0.642973,-0.720142,-0.260732
1.97,0.646631,-0.71421,-0.267904
1.98,0.650258,-0.708188,-0.275016
1.99,0.653854,-0.702077,-0.282067
2,0.657419,-0.695878,-0.289057
2.01,0.660952,-0.689591,-0.295984
2.02,0.664453,-0.683217,-0.302848
2.03,0.667921,-0.676757,-0.309648
2.04,0.671355,-0.670211,-0.316383
2.05,0.674757,-0.663582,-0.323052
2.06,0.678124,-0.656868,-0.329655
2.07,0.681457,-0.650072,-0.336189
2.08,0.684754,-0.643194,-0.342656
2.09,0.688017,-0.636235,-0.349053
2.1,0.691244,-0.629195,-0.35538
2.11,0.694435,-0.622077,-0.361637
2.12,0.697589,-0.61488,-0.367822
2.13,0.700706,-0.607605,-0.373934
2.14,0.703786,-0.600254,-0.379973
2.15,0.706829,-0.592827,-0.385939
2.16,0.709833,-0.585326,-0.39183
2.17,0.712799,-0.577751,-0.397645
2.18,0.715726,-0.570103,-0.403384
2.19,0.718614,-0.562383,-0.409047
2.2,0.721462,-0.554592,-0.414632
2.21,0.724271,-0.546732,-0.420139
2.22,0.727039,-0.538802,-0.425566
2.23,0.729766,-0.530805,-0.430914
2.24,0.732453,-0.522741,-0.436182
2.25,0.735098,-0.514611,-0.441369
2.26,0.737702,-0.506416,-0.446474
2.27,0.740264,-0.498157,-0.451497
2.28,0.742783,-0.489835,-0.456437
2.29,0.74526,-0.481452,-0.461294
2.3,0.747694,-0.473008,-0.466066
2.31,0.750084,-0.464505,-0.470754
2.32,0.752431,-0.455943,-0.475356
2.33,0.754735,-0.447323,-0.479872
2.34,0.756994,-0.438647,-0.484302
2.35,0.759209,-0.429916,-0.488645
2.36,0.761379,-0.421131,-0.4929
2.37,0.763504,-0.412292,-0.497067
2.38,0.765584,-0.403402,-0.501146
2.39,0.767619,-0.394461,-0.505135
2.4,0.769608,-0.38547,-0.509035
2.41,0.771551,-0.376431,-0.512845
2.42,0.773447,-0.367344,-0.516563
2.43,0.775298,-0.358211,-0.520191
2.44,0.777101,-0.349032,-0.523727
2.45,0.778858,-0.33981,-0.527172
2.46,0.780567,-0.330545,-0.530524
