time,x,y,z
0,0,0,1
0.001,0.001,-1.25e-08,1
0.002,0.002,-5e-08,0.999998
0.003,0.003,-1.125e-07,0.999996
0.004,0.00399999,-2e-07,0.999992
0.005,0.00499998,-3.12499e-07,0.999988
0.006,0.00599996,-4.49999e-07,0.999982
0.007,0.00699994,-6.12497e-07,0.999976
0.008,0.00799991,-7.99996e-07,0.999968
0.009,0.00899988,-1.01249e-06,0.99996
0.01,0.00999983,-1.24999e-06,0.99995
0.011,0.0109998,-1.51248e-06,0.99994
0.012,0.0119997,-1.79998e-06,0.999928
0.013,0.0129996,-2.11247e-06,0.999916
0.014,0.0139995,-2.44996e-06,0.999902
0.015,0.0149994,-2.81245e-06,0.999888
0.016,0.0159993,-3.19993e-06,0.999872
0.017,0.0169992,-3.61241e-06,0.999856
0.018,0.017999,-4.04989e-06,0.999838
0.019,0.0189989,-4.51236e-06,0.99982
0.02,0.0199987,-4.99983e-06,0.9998
0.021,0.0209985,-5.5123e-06,0.99978
0.022,0.0219982,-6.04976e-06,0.999758
0.023,0.022998,-6.61221e-06,0.999736
0.024,0.0239977,-7.19965e-06,0.999712
0.025,0.0249974,-7.81209e-06,0.999688
0.026,0.0259971,-8.44952e-06,0.999662
0.027,0.0269967,-9.11195e-06,0.999636
0.028,0.0279963,-9.79936e-06,0.999608
0.029,0.0289959,-1.05118e-05,0.99958
0.03,0.0299955,-1.12492e-05,0.99955
0.031,0.030995,-1.20115e-05,0.99952
0.032,0.0319945,-1.27989e-05,0.999488
0.033,0.032994,-1.36113e-05,0.999456
0.034,0.0339934,-1.44486e-05,0.999422
0.035,0.0349929,-1.53109e-05,0.999388
0.036,0.0359922,-1.61982e-05,0.999352
0.037,0.0369916,-1.71105e-05,0.999316
0.038,0.0379908,-1.80478e-05,0.999278
0.039,0.0389901,-1.90101e-05,0.99924
0.04,0.0399893,-1.99973e-05,0.9992
0.041,0.0409885,-2.10096e-05,0.99916
0.042,0.0419876,-2.20468e-05,0.999118
0.043,0.0429867,-2.31089e-05,0.999076
0.044,0.0439858,-2.41961e-05,0.999032
0.045,0.0449848,-2.53082e-05,0.998988
0.046,0.0459838,-2.64453e-05,0.998942
0.047,0.0469827,-2.76074e-05,0.998896
0.048,0.0479816,-2.87945e-05,0.998848
0.049,0.0489804,-3.00065e-05,0.9988
0.05,0.0499792,-3.12435e-05,0.99875
0.051,0.0509779,-3.25054e-05,0.9987
0.052,0.0519766,-3.37924e-05,0.998648
0.053,0.0529752,-3.51043e-05,0.998596
0.054,0.0539737,-3.64411e-05,0.998542
0.055,0.0549723,-3.7803e-05,0.998488
0.056,0.0559707,-3.91898e-05,0.998432
0.057,0.0569691,-4.06015e-05,0.998376
0.058,0.0579675,-4.20382e-05,0.998318
0.059,0.0589658,-4.34999e-05,0.99826
0.06,0.059964,-4.49865e-05,0.998201
0.061,0.0609622,-4.64981e-05,0.99814
0.062,0.0619603,-4.80346e-05,0.998079
0.063,0.0629583,-4.95961e-05,0.998016
0.064,0.0639563,-5.11825e-05,0.997953
0.065,0.0649542,-5.27939e-05,0.997888
0.066,0.0659521,-5.44302e-05,0.997823
0.067,0.0669499,-5.60915e-05,0.997756
0.068,0.0679476,-5.77777e-05,0.997689
0.069,0.0689452,-5.94889e-05,0.99762
0.07,0.0699428,-6.1225e-05,0.997551
0.071,0.0709403,-6.2986e-05,0.997481
0.072,0.0719378,-6.4772e-05,0.997409
0.073,0.0729351,-6.65829e-05,0.997337
0.074,0.0739324,-6.84188e-05,0.997263
0.075,0.0749297,-7.02795e-05,0.997189
0.076,0.0759268,-7.21652e-05,0.997113
0.077,0.0769239,-7.40759e-05,0.997037
0.078,0.0779209,-7.60114e-05,0.99696
0.079,0.0789178,-7.79719e-05,0.996881
0.08,0.0799146,-7.99573e-05,0.996802
0.081,0.0809114,-8.19676e-05,0.996721
0.082,0.0819081,-8.40029e-05,0.99664
0.083,0.0829047,-8.6063e-05,0.996557
0.084,0.0839012,-8.81481e-05,0.996474
0.085,0.0848976,-9.02581e-05,0.99639
0.086,0.085894,-9.2393e-05,0.996304
0.087,0.0868902,-9.45528e-05,0.996218
0.088,0.0878864,-9.67375e-05,0.99613
0.089,0.0888825,-9.89471e-05,0.996042
0.09,0.0898785,-0.000101182,0.995953
0.091,0.0908744,-0.000103441,0.995862
0.092,0.0918702,-0.000105725,0.995771
0.093,0.0928659,-0.000108035,0.995679
0.094,0.0938615,-0.000110369,0.995585
0.095,0.0948571,-0.000112728,0.995491
0.096,0.0958525,-0.000115111,0.995396
0.097,0.0968479,-0.00011752,0.995299
0.098,0.0978431,-0.000119954,0.995202
0.099,0.0988383,-0.000122412,0.995104
0.1,0.0998333,-0.000124896,0.995004
0.101,0.100828,-0.000127404,0.994904
0.102,0.101823,-0.000129937,0.994803
0.103,0.102818,-0.000132495,0.9947
0.104,0.103813,-0.000135078,0.994597
0.105,0.104807,-0.000137686,0.994493
0.106,0.105801,-0.000140318,0.994387
0.107,0.106796,-0.000142976,0.994281
0.108,0.10779,-0.000145658,0.994174
0.109,0.108784,-0.000148365,0.994065
0.11,0.109778,-0.000151097,0.993956
0.111,0.110772,-0.000153854,0.993846
0.112,0.111766,-0.000156636,0.993735
0.113,0.11276,-0.000159443,0.993622
0.114,0.113753,-0.000162274,0.993509
0.115,0.114747,-0.00016513,0.993395
0.116,0.11574,-0.000168011,0.99328
0.117,0.116733,-0.000170917,0.993163
0.118,0.117726,-0.000173848,0.993046
0.119,0.118719,-0.000176804,0.992928
0.12,0.119712,-0.000179784,0.992809
0.121,0.120705,-0.000182789,0.992688
0.122,0.121697,-0.000185819,0.992567
0.123,0.12269,-0.000188874,0.992445
0.124,0.123682,-0.000191954,0.992322
0.125,0.124675,-0.000195058,0.992198
0.126,0.125667,-0.000198187,0.992073
0.127,0.126659,-0.000201341,0.991946
0.128,0.127651,-0.00020452,0.991819
0.129,0.128642,-0.000207724,0.991691
0.13,0.129634,-0.000210952,0.991562
0.131,0.130625,-0.000214206,0.991432
0.132,0.131617,-0.000217484,0.991301
0.133,0.132608,-0.000220787,0.991169
0.134,0.133599,-0.000224114,0.991035
0.135,0.13459,-0.000227467,0.990901
0.136,0.135581,-0.000230844,0.990766
0.137,0.136572,-0.000234246,0.99063
0.138,0.137562,-0.000237672,0.990493
0.139,0.138553,-0.000241124,0.990355
0.14,0.139543,-0.0002446,0.990216
0.141,0.140533,-0.000248101,0.990076
0.142,0.141523,-0.000251626,0.989935
0.143,0.142513,-0.000255177,0.989793
0.144,0.143503,-0.000258752,0.98965
0.145,0.144492,-0.000262352,0.989506
0.146,0.145482,-0.000265977,0.989361
0.147,0.146471,-0.000269626,0.989215
0.148,0.14746,-0.0002733,0.989068
0.149,0.148449,-0.000276999,0.98892
0.15,0.149438,-0.000280723,0.988771
0.151,0.150426,-0.000284471,0.988621
0.152,0.151415,-0.000288244,0.98847
0.153,0.152403,-0.000292042,0.988318
0.154,0.153392,-0.000295864,0.988165
0.155,0.15438,-0.000299711,0.988012
0.156,0.155368,-0.000303583,0.987857
0.157,0.156355,-0.00030748,0.987701
0.158,0.157343,-0.000311401,0.987544
0.159,0.15833,-0.000315347,0.987386
0.16,0.159318,-0.000319317,0.987227
0.161,0.160305,-0.000323313,0.987067
0.162,0.161292,-0.000327333,0.986907
0.163,0.162279,-0.000331377,0.986745
0.164,0.163265,-0.000335447,0.986582
0.165,0.164252,-0.000339541,0.986418
0.166,0.165238,-0.000343659,0.986254
0.167,0.166224,-0.000347803,0.986088
0.168,0.16721,-0.00035197,0.985921
0.169,0.168196,-0.000356163,0.985753
0.17,0.169182,-0.00036038,0.985585
0.171,0.170167,-0.000364622,0.985415
0.172,0.171153,-0.000368889,0.985244
0.173,0.172138,-0.00037318,0.985073
0.174,0.173123,-0.000377496,0.9849
0.175,0.174108,-0.000381836,0.984727
0.176,0.175092,-0.000386201,0.984552
0.177,0.176077,-0.000390591,0.984376
0.178,0.177061,-0.000395005,0.9842
0.179,0.178045,-0.000399444,0.984022
0.18,0.179029,-0.000403907,0.983844
0.181,0.180013,-0.000408395,0.983664
0.182,0.180996,-0.000412908,0.983484
0.183,0.18198,-0.000417445,0.983302
0.184,0.182963,-0.000422007,0.98312
0.185,0.183946,-0.000426593,0.982936
0.186,0.184929,-0.000431204,0.982752
0.187,0.185911,-0.000435839,0.982566
0.188,0.186894,-0.000440499,0.98238
0.189,0.187876,-0.000445184,0.982193
0.19,0.188858,-0.000449893,0.982004
0.191,0.18984,-0.000454627,0.981815
0.192,0.190822,-0.000459385,0.981625
0.193,0.191803,-0.000464168,0.981433
0.194,0.192785,-0.000468975,0.981241
0.195,0.193766,-0.000473807,0.981048
0.196,0.194747,-0.000478664,0.980853
0.197,0.195727,-0.000483545,0.980658
0.198,0.196708,-0.00048845,0.980462
0.199,0.197688,-0.00049338,0.980265
0.2,0.198669,-0.000498335,0.980067
0.201,0.199648,-0.000503313,0.979867
0.202,0.200628,-0.000508317,0.979667
0.203,0.201608,-0.000513345,0.979466
0.204,0.202587,-0.000518397,0.979264
0.205,0.203566,-0.000523474,0.979061
0.206,0.204545,-0.000528576,0.978857
0.207,0.205524,-0.000533701,0.978652
0.208,0.206502,-0.000538852,0.978446
0.209,0.207481,-0.000544027,0.978239
0.21,0.208459,-0.000549226,0.978031
0.211,0.209437,-0.00055445,0.977822
0.212,0.210415,-0.000559698,0.977612
0.213,0.211392,-0.00056497,0.977401
0.214,0.212369,-0.000570267,0.977189
0.215,0.213346,-0.000575589,0.976976
0.216,0.214323,-0.000580935,0.976763
0.217,0.2153,-0.000586305,0.976548
0.218,0.216276,-0.0005917,0.976332
0.219,0.217253,-0.000597119,0.976115
0.22,0.218229,-0.000602562,0.975898
0.221,0.219204,-0.00060803,0.975679
0.222,0.22018,-0.000613522,0.975459
0.223,0.221155,-0.000619039,0.975238
0.224,0.22213,-0.00062458,0.975017
0.225,0.223105,-0.000630146,0.974794
0.226,0.22408,-0.000635735,0.974571
0.227,0.225054,-0.00064135,0.974346
0.228,0.226029,-0.000646988,0.97412
0.229,0.227002,-0.000652651,0.973894
0.23,0.227976,-0.000658338,0.973666
0.231,0.22895,-0.00066405,0.973438
0.232,0.229923,-0.000669786,0.973209
0.233,0.230896,-0.000675546,0.972978
0.234,0.231869,-0.000681331,0.972747
0.235,0.232842,-0.000687139,0.972514
0.236,0.233814,-0.000692973,0.972281
0.237,0.234786,-0.00069883,0.972047
0.238,0.235758,-0.000704712,0.971812
0.239,0.23673,-0.000710618,0.971575
0.24,0.237701,-0.000716548,0.971338
0.241,0.238672,-0.000722503,0.9711
0.242,0.239643,-0.000728482,0.970861
0.243,0.240614,-0.000734485,0.970621
0.244,0.241585,-0.000740513,0.970379
0.245,0.242555,-0.000746565,0.970137
0.246,0.243525,-0.000752641,0.969894
0.247,0.244495,-0.000758741,0.96965
0.248,0.245464,-0.000764865,0.969405
0.249,0.246433,-0.000771014,0.969159
0.25,0.247402,-0.000777187,0.968913
0.251,0.248371,-0.000783384,0.968665
0.252,0.24934,-0.000789605,0.968416
0.253,0.250308,-0.000795851,0.968166
0.254,0.251276,-0.000802121,0.967915
0.255,0.252244,-0.000808415,0.967663
0.256,0.253211,-0.000814733,0.967411
0.257,0.254178,-0.000821075,0.967157
0.258,0.255145,-0.000827442,0.966902
0.259,0.256112,-0.000833833,0.966647
0.26,0.257079,-0.000840248,0.96639
0.261,0.258045,-0.000846687,0.966133
0.262,0.259011,-0.00085315,0.965874
0.263,0.259977,-0.000859637,0.965615
0.264,0.260942,-0.000866149,0.965354
0.265,0.261907,-0.000872684,0.965093
0.266,0.262872,-0.000879244,0.96483
0.267,0.263837,-0.000885828,0.964567
0.268,0.264801,-0.000892436,0.964303
0.269,0.265766,-0.000899068,0.964037
0.27,0.266729,-0.000905724,0.963771
0.271,0.267693,-0.000912404,0.963504
0.272,0.268656,-0.000919109,0.963236
0.273,0.269619,-0.000925837,0.962967
0.274,0.270582,-0.00093259,0.962696
0.275,0.271545,-0.000939366,0.962425
0.276,0.272507,-0.000946167,0.962153
0.277,0.273469,-0.000952992,0.96188
0.278,0.274431,-0.00095984,0.961606
0.279,0.275392,-0.000966713,0.961331
0.28,0.276353,-0.00097361,0.961056
0.281,0.277314,-0.000980531,0.960779
0.282,0.278275,-0.000987476,0.960501
0.283,0.279235,-0.000994445,0.960222
0.284,0.280195,-0.00100144,0.959942
0.285,0.281155,-0.00100845,0.959662
0.286,0.282115,-0.0010155,0.95938
0.287,0.283074,-0.00102256,0.959098
0.288,0.284033,-0.00102965,0.958814
0.289,0.284991,-0.00103676,0.95853
0.29,0.28595,-0.0010439,0.958244
0.291,0.286908,-0.00105106,0.957958
0.292,0.287866,-0.00105824,0.95767
0.293,0.288823,-0.00106545,0.957382
0.294,0.28978,-0.00107269,0.957093
0.295,0.290737,-0.00107994,0.956802
0.296,0.291694,-0.00108722,0.956511
0.297,0.29265,-0.00109453,0.956219
0.298,0.293606,-0.00110185,0.955926
0.299,0.294562,-0.00110921,0.955632
0.3,0.295517,-0.00111658,0.955337
0.301,0.296473,-0.00112398,0.955041
0.302,0.297427,-0.00113141,0.954744
0.303,0.298382,-0.00113885,0.954446
0.304,0.299336,-0.00114633,0.954147
0.305,0.30029,-0.00115382,0.953847
0.306,0.301244,-0.00116134,0.953546
0.307,0.302197,-0.00116888,0.953245
0.308,0.30315,-0.00117645,0.952942
0.309,0.304103,-0.00118404,0.952638
0.31,0.305056,-0.00119165,0.952334
0.311,0.306008,-0.00119929,0.952028
0.312,0.30696,-0.00120696,0.951722
0.313,0.307911,-0.00121464,0.951414
0.314,0.308862,-0.00122235,0.951106
0.315,0.309813,-0.00123008,0.950797
0.316,0.310764,-0.00123784,0.950486
0.317,0.311714,-0.00124562,0.950175
0.318,0.312664,-0.00125343,0.949863
0.319,0.313614,-0.00126126,0.94955
0.32,0.314563,-0.00126911,0.949236
0.321,0.315512,-0.00127698,0.948921
0.322,0.316461,-0.00128488,0.948605
0.323,0.317409,-0.00129281,0.948288
0.324,0.318357,-0.00130075,0.94797
0.325,0.319305,-0.00130872,0.947651
0.326,0.320253,-0.00131672,0.947331
0.327,0.3212,-0.00132474,0.947011
0.328,0.322147,-0.00133278,0.946689
0.329,0.323093,-0.00134084,0.946366
0.33,0.324039,-0.00134893,0.946043
0.331,0.324985,-0.00135705,0.945718
0.332,0.325931,-0.00136518,0.945393
0.333,0.326876,-0.00137334,0.945066
0.334,0.327821,-0.00138153,0.944739
0.335,0.328765,-0.00138973,0.944411
0.336,0.32971,-0.00139797,0.944081
0.337,0.330653,-0.00140622,0.943751
0.338,0.331597,-0.0014145,0.94342
0.339,0.33254,-0.0014228,0.943088
0.34,0.333483,-0.00143112,0.942755
0.341,0.334426,-0.00143947,0.942421
0.342,0.335368,-0.00144785,0.942086
0.343,0.33631,-0.00145624,0.94175
0.344,0.337251,-0.00146466,0.941414
0.345,0.338192,-0.0014731,0.941076
0.346,0.339133,-0.00148157,0.940737
0.347,0.340074,-0.00149006,0.940398
0.348,0.341014,-0.00149857,0.940057
0.349,0.341954,-0.00150711,0.939716
0.35,0.342893,-0.00151567,0.939373
0.351,0.343833,-0.00152426,0.93903
0.352,0.344771,-0.00153286,0.938685
0.353,0.34571,-0.0015415,0.93834
0.354,0.346648,-0.00155015,0.937994
0.355,0.347586,-0.00155883,0.937647
0.356,0.348523,-0.00156753,0.937299
0.357,0.34946,-0.00157625,0.93695
0.358,0.350397,-0.001585,0.9366
0.359,0.351333,-0.00159377,0.936249
0.36,0.352269,-0.00160257,0.935897
0.361,0.353205,-0.00161139,0.935545
0.362,0.35414,-0.00162023,0.935191
