time,q0_x,q0_y,q0_z
0,0.00999983,-6.12313e-19,0.99995
0.01,0.0199987,-1.22457e-18,0.9998
0.02,0.0299955,-1.83669e-18,0.99955
0.03,0.0399893,-2.44864e-18,0.9992
0.04,0.0499792,-3.06034e-18,0.99875
0.05,0.059964,-3.67174e-18,0.998201
0.06,0.0699428,-4.28276e-18,0.997551
0.07,0.0799147,-4.89336e-18,0.996802
0.08,0.0898785,-5.50347e-18,0.995953
0.09,0.0998334,-6.11303e-18,0.995004
0.1,0.109778,-6.72198e-18,0.993956
0.11,0.119712,-7.33026e-18,0.992809
0.12,0.129634,-7.9378e-18,0.991562
0.13,0.139543,-8.54455e-18,0.990216
0.14,0.149438,-9.15045e-18,0.988771
0.15,0.159318,-9.75543e-18,0.987227
0.16,0.169182,-1.03594e-17,0.985585
0.17,0.17903,-1.09624e-17,0.983844
0.18,0.188859,-1.15643e-17,0.982004
0.19,0.198669,-1.2165e-17,0.980067
0.2,0.20846,-1.27645e-17,0.978031
0.21,0.21823,-1.33627e-17,0.975897
0.22,0.227978,-1.39596e-17,0.973666
0.23,0.237703,-1.45551e-17,0.971338
0.24,0.247404,-1.51491e-17,0.968912
0.25,0.257081,-1.57416e-17,0.96639
0.26,0.266731,-1.63326e-17,0.963771
0.27,0.276356,-1.69219e-17,0.961055
0.28,0.285952,-1.75095e-17,0.958244
0.29,0.29552,-1.80954e-17,0.955336
0.3,0.305059,-1.86795e-17,0.952334
0.31,0.314567,-1.92616e-17,0.949235
0.32,0.324043,-1.98419e-17,0.946042
0.33,0.333487,-2.04202e-17,0.942755
0.34,0.342898,-2.09964e-17,0.939373
0.35,0.352274,-2.15706e-17,0.935897
0.36,0.361615,-2.21426e-17,0.932327
0.37,0.37092,-2.27123e-17,0.928665
0.38,0.380188,-2.32798e-17,0.924909
0.39,0.389418,-2.3845e-17,0.921061
0.4,0.398609,-2.44078e-17,0.917121
0.41,0.40776,-2.49681e-17,0.913089
0.42,0.416871,-2.5526e-17,0.908966
0.43,0.425939,-2.60813e-17,0.904752
0.44,0.434966,-2.6634e-17,0.900447
0.45,0.443948,-2.7184e-17,0.896052
0.46,0.452886,-2.77313e-17,0.891568
0.47,0.461779,-2.82758e-17,0.886995
0.48,0.470626,-2.88175e-17,0.882333
0.49,0.479426,-2.93563e-17,0.877583
0.5,0.488177,-2.98922e-17,0.872745
0.51,0.49688,-3.04251e-17,0.867819
0.52,0.505533,-3.0955e-17,0.862807
0.53,0.514136,-3.14817e-17,0.857709
0.54,0.522687,-3.20054e-17,0.852525
0.55,0.531186,-3.25258e-17,0.847255
0.56,0.539632,-3.30429e-17,0.841901
0.57,0.548024,-3.35568e-17,0.836463
0.58,0.556361,-3.40673e-17,0.830941
0.59,0.564642,-3.45744e-17,0.825336
0.6,0.572867,-3.5078e-17,0.819648
0.61,0.581035,-3.55781e-17,0.813878
0.62,0.589145,-3.60747e-17,0.808028
0.63,0.597195,-3.65677e-17,0.802096
0.64,0.605186,-3.7057e-17,0.796084
0.65,0.613117,-3.75426e-17,0.789992
0.66,0.620986,-3.80244e-17,0.783822
0.67,0.628793,-3.85025e-17,0.777573
0.68,0.636537,-3.89767e-17,0.771246
0.69,0.644218,-3.9447e-17,0.764842
0.7,0.651834,-3.99133e-17,0.758362
0.71,0.659385,-4.03757e-17,0.751806
0.72,0.66687,-4.0834e-17,0.745174
0.73,0.674288,-4.12882e-17,0.738469
0.74,0.681639,-4.17383e-17,0.731689
0.75,0.688921,-4.21843e-17,0.724836
0.76,0.696135,-4.2626e-17,0.717911
0.77,0.703279,-4.30634e-17,0.710914
0.78,0.710353,-4.34966e-17,0.703845
0.79,0.717356,-4.39254e-17,0.696707
0.8,0.724287,-4.43498e-17,0.689498
0.81,0.731146,-4.47698e-17,0.682221
0.82,0.737931,-4.51853e-17,0.674876
0.83,0.744643,-4.55962e-17,0.667463
0.84,0.75128,-4.60027e-17,0.659983
0.85,0.757843,-4.64045e-17,0.652437
0.86,0.764329,-4.68016e-17,0.644827
0.87,0.770739,-4.71941e-17,0.637151
0.88,0.777072,-4.75819e-17,0.629412
0.89,0.783327,-4.79649e-17,0.62161
0.9,0.789504,-4.83432e-17,0.613746
0.91,0.795602,-4.87165e-17,0.60582
0.92,0.80162,-4.90851e-17,0.597834
0.93,0.807558,-4.94487e-17,0.589788
0.94,0.813416,-4.98073e-17,0.581683
0.95,0.819192,-5.0161e-17,0.57352
0.96,0.824886,-5.05097e-17,0.5653
0.97,0.830497,-5.08533e-17,0.557023
0.98,0.836026,-5.11918e-17,0.54869
0.99,0.841471,-5.15252e-17,0.540302
1,0.846832,-5.18535e-17,0.531861
1.01,0.852108,-5.21766e-17,0.523366
1.02,0.857299,-5.24944e-17,0.514819
1.03,0.862404,-5.2807e-17,0.50622
1.04,0.867423,-5.31144e-17,0.497571
1.05,0.872355,-5.34164e-17,0.488872
1.06,0.877201,-5.3713e-17,0.480124
1.07,0.881958,-5.40043e-17,0.471328
1.08,0.886627,-5.42902e-17,0.462485
1.09,0.891207,-5.45707e-17,0.453596
1.1,0.895699,-5.48457e-17,0.444662
1.11,0.9001,-5.51153e-17,0.435682
1.12,0.904412,-5.53793e-17,0.42666
1.13,0.908633,-5.56378e-17,0.417595
1.14,0.912764,-5.58907e-17,0.408487
1.15,0.916803,-5.6138e-17,0.39934
1.16,0.920751,-5.63797e-17,0.390152
1.17,0.924606,-5.66158e-17,0.380925
1.18,0.928369,-5.68462e-17,0.37166
1.19,0.932039,-5.70709e-17,0.362358
1.2,0.935616,-5.729e-17,0.353019
1.21,0.939099,-5.75033e-17,0.343646
1.22,0.942489,-5.77108e-17,0.334238
1.23,0.945784,-5.79126e-17,0.324796
1.24,0.948985,-5.81085e-17,0.315322
1.25,0.95209,-5.82987e-17,0.305817
1.26,0.955101,-5.84831e-17,0.296281
1.27,0.958016,-5.86616e-17,0.286715
1.28,0.960835,-5.88342e-17,0.277121
1.29,0.963558,-5.90009e-17,0.267499
1.3,0.966185,-5.91618e-17,0.25785
1.31,0.968715,-5.93167e-17,0.248175
1.32,0.971148,-5.94657e-17,0.238476
1.33,0.973485,-5.96087e-17,0.228753
1.34,0.975723,-5.97458e-17,0.219007
1.35,0.977865,-5.98769e-17,0.209239
1.36,0.979908,-6.00021e-17,0.19945
1.37,0.981854,-6.01212e-17,0.189641
1.38,0.983701,-6.02343e-17,0.179813
1.39,0.98545,-6.03414e-17,0.169967
1.4,0.9871,-6.04424e-17,0.160104
1.41,0.988652,-6.05375e-17,0.150225
1.42,0.990105,-6.06264e-17,0.140332
1.43,0.991458,-6.07093e-17,0.130424
1.44,0.992713,-6.07861e-17,0.120503
1.45,0.993868,-6.08569e-17,0.11057
1.46,0.994924,-6.09215e-17,0.100626
1.47,0.995881,-6.09801e-17,0.0906716
1.48,0.996738,-6.10326e-17,0.0807084
1.49,0.997495,-6.1079e-17,0.0707372
1.5,0.998152,-6.11192e-17,0.0607589
1.51,0.99871,-6.11534e-17,0.0507745
1.52,0.999168,-6.11814e-17,0.040785
1.53,0.999526,-6.12033e-17,0.0307915
