time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0.28,0.000685531,-0.279902,0.960028,0.000685531,-0.279902,0.960028,0.000685531,-0.279902,0.960028,0.000685531,-0.279902,0.960028,0.000685531,-0.279902,0.960028
0.29,0.00074776,-0.289284,0.957243,0.00074776,-0.289284,0.957243,0.00074776,-0.289284,0.957243,0.00074776,-0.289284,0.957243,0.00074776,-0.289284,0.957243
0.3,0.000783346,-0.298616,0.954373,0.000783346,-0.298616,0.954373,0.000783346,-0.298616,0.954373,0.000783346,-0.298616,0.954373,0.000783346,-0.298616,0.954373
0.31,0.000860945,-0.307744,0.951469,0.000860945,-0.307744,0.951469,0.000860945,-0.307744,0.951469,0.000860945,-0.307744,0.951469,0.000860945,-0.307744,0.951469
0.32,0.000957426,-0.316866,0.94847,0.000957426,-0.316866,0.94847,0.000957426,-0.316866,0.94847,0.000957426,-0.316866,0.94847,0.000957426,-0.316866,0.94847
0.33,0.00109127,-0.325994,0.945371,0.00109127,-0.325994,0.945371,0.00109127,-0.325994,0.945371,0.00109127,-0.325994,0.945371,0.00109127,-0.325994,0.945371
0.34,0.00128053,-0.33508,0.942189,0.00128053,-0.33508,0.942189,0.00128053,-0.33508,0.942189,0.00128053,-0.33508,0.942189,0.00128053,-0.33508,0.942189
0.35,0.00148947,-0.344173,0.938905,0.00148947,-0.344173,0.938905,0.00148947,-0.344173,0.938905,0.00148947,-0.344173,0.938905,0.00148947,-0.344173,0.938905
0.36,0.00166841,-0.353108,0.935581,0.00166841,-0.353108,0.935581,0.00166841,-0.353108,0.935581,0.00166841,-0.353108,0.935581,0.00166841,-0.353108,0.935581
0.37,0.00180739,-0.362084,0.932144,0.00180739,-0.362084,0.932144,0.00180739,-0.362084,0.932144,0.00180739,-0.362084,0.932144,0.00180739,-0.362084,0.932144
0.38,0.00199011,-0.370917,0.928664,0.00199011,-0.370917,0.928664,0.00199011,-0.370917,0.928664,0.00199011,-0.370917,0.928664,0.00199011,-0.370917,0.928664
0.39,0.00218146,-0.379465,0.925204,0.00218146,-0.379465,0.925204,0.00218146,-0.379465,0.925204,0.00218146,-0.379465,0.925204,0.00218146,-0.379465,0.925204
0.4,0.00237225,-0.388068,0.921628,0.00237225,-0.388068,0.921628,0.00237225,-0.388068,0.921628,0.00237225,-0.388068,0.921628,0.00237225,-0.388068,0.921628
0.41,0.00254935,-0.396685,0.917951,0.00254935,-0.396685,0.917951,0.00254935,-0.396685,0.917951,0.00254935,-0.396685,0.917951,0.00254935,-0.396685,0.917951
0.42,0.00275923,-0.405193,0.914227,0.00275923,-0.405193,0.914227,0.00275923,-0.405193,0.914227,0.00275923,-0.405193,0.914227,0.00275923,-0.405193,0.914227
0.43,0.00302973,-0.413541,0.910481,0.00302973,-0.413541,0.910481,0.00302973,-0.413541,0.910481,0.00302973,-0.413541,0.910481,0.00302973,-0.413541,0.910481
0.44,0.00322682,-0.422004,0.906588,0.00322682,-0.422004,0.906588,0.00322682,-0.422004,0.906588,0.00322682,-0.422004,0.906588,0.00322682,-0.422004,0.906588
0.45,0.00347601,-0.430334,0.902663,0.00347601,-0.430334,0.902663,0.00347601,-0.430334,0.902663,0.00347601,-0.430334,0.902663,0.00347601,-0.430334,0.902663
