time,x,y,z
0,0,0,1
0.001,-5.25e-08,-0.001,1
0.002,-2.1e-07,-0.002,0.999998
0.003,-4.725e-07,-0.003,0.999996
0.004,-8.39999e-07,-0.00399999,0.999992
0.005,-1.3125e-06,-0.00499998,0.999988
0.006,-1.88999e-06,-0.00599996,0.999982
0.007,-2.57249e-06,-0.00699994,0.999976
0.008,-3.35998e-06,-0.00799991,0.999968
0.009,-4.25247e-06,-0.00899988,0.99996
0.01,-5.24996e-06,-0.00999983,0.99995
0.011,-6.35244e-06,-0.0109998,0.99994
0.012,-7.55991e-06,-0.0119997,0.999928
0.013,-8.87237e-06,-0.0129996,0.999916
0.014,-1.02898e-05,-0.0139995,0.999902
0.015,-1.18123e-05,-0.0149994,0.999888
0.016,-1.34397e-05,-0.0159993,0.999872
0.017,-1.51721e-05,-0.0169992,0.999856
0.018,-1.70095e-05,-0.017999,0.999838
0.019,-1.89519e-05,-0.0189988,0.99982
0.02,-2.09993e-05,-0.0199987,0.9998
0.021,-2.31516e-05,-0.0209984,0.99978
0.022,-2.5409e-05,-0.0219982,0.999758
0.023,-2.77713e-05,-0.0229979,0.999736
0.024,-3.02385e-05,-0.0239977,0.999712
0.025,-3.28108e-05,-0.0249974,0.999688
0.026,-3.5488e-05,-0.025997,0.999662
0.027,-3.82701e-05,-0.0269967,0.999636
0.028,-4.11573e-05,-0.0279963,0.999608
0.029,-4.41494e-05,-0.0289959,0.99958
0.03,-4.72464e-05,-0.0299955,0.99955
0.031,-5.04484e-05,-0.030995,0.99952
0.032,-5.37554e-05,-0.0319945,0.999488
0.033,-5.71673e-05,-0.0329939,0.999456
0.034,-6.06841e-05,-0.0339934,0.999422
0.035,-6.43059e-05,-0.0349928,0.999388
0.036,-6.80326e-05,-0.0359921,0.999352
0.037,-7.18642e-05,-0.0369915,0.999316
0.038,-7.58008e-05,-0.0379908,0.999278
0.039,-7.98423e-05,-0.03899,0.99924
0.04,-8.39887e-05,-0.0399892,0.9992
0.041,-8.824e-05,-0.0409884,0.99916
0.042,-9.25962e-05,-0.0419875,0.999118
0.043,-9.70574e-05,-0.0429866,0.999076
0.044,-0.000101623,-0.0439856,0.999032
0.045,-0.000106294,-0.0449846,0.998988
0.046,-0.00011107,-0.0459836,0.998942
0.047,-0.000115951,-0.0469825,0.998896
0.048,-0.000120937,-0.0479814,0.998848
0.049,-0.000126027,-0.0489802,0.9988
0.05,-0.000131222,-0.0499789,0.99875
0.051,-0.000136523,-0.0509777,0.9987
0.052,-0.000141928,-0.0519763,0.998648
0.053,-0.000147438,-0.0529749,0.998596
0.054,-0.000153052,-0.0539735,0.998542
0.055,-0.000158772,-0.054972,0.998488
0.056,-0.000164597,-0.0559704,0.998432
0.057,-0.000170526,-0.0569688,0.998376
0.058,-0.00017656,-0.0579671,0.998318
0.059,-0.000182699,-0.0589654,0.99826
0.06,-0.000188943,-0.0599636,0.998201
0.061,-0.000195291,-0.0609618,0.99814
0.062,-0.000201745,-0.0619598,0.998079
