time,x,y,z
0,0,0,1
0.001,4.7e-07,-0.001,1
0.002,1.88e-06,-0.002,0.999998
0.003,4.22999e-06,-0.00299999,0.999996
0.004,7.51998e-06,-0.00399998,0.999992
0.005,1.175e-05,-0.00499996,0.999988
0.006,1.69199e-05,-0.00599993,0.999982
0.007,2.30298e-05,-0.00699989,0.999976
0.008,3.00797e-05,-0.00799984,0.999968
0.009,3.80695e-05,-0.00899977,0.99996
0.01,4.69993e-05,-0.00999969,0.99995
0.011,5.68689e-05,-0.0109996,0.99994
0.012,6.76785e-05,-0.0119995,0.999928
0.013,7.94279e-05,-0.0129993,0.999916
0.014,9.21172e-05,-0.0139991,0.999902
0.015,0.000105746,-0.0149989,0.999888
0.016,0.000120315,-0.0159987,0.999872
0.017,0.000135824,-0.0169985,0.999856
0.018,0.000152272,-0.0179982,0.999838
0.019,0.00016966,-0.0189978,0.99982
0.02,0.000187988,-0.0199975,0.9998
0.021,0.000207256,-0.0209971,0.99978
0.022,0.000227463,-0.0219967,0.999758
0.023,0.000248609,-0.0229962,0.999736
0.024,0.000270696,-0.0239957,0.999712
0.025,0.000293721,-0.0249951,0.999688
0.026,0.000317686,-0.0259945,0.999662
0.027,0.000342591,-0.0269938,0.999636
0.028,0.000368435,-0.0279931,0.999608
0.029,0.000395218,-0.0289923,0.99958
0.03,0.00042294,-0.0299915,0.99955
0.031,0.000451602,-0.0309906,0.99952
0.032,0.000481203,-0.0319897,0.999488
0.033,0.000511743,-0.0329887,0.999456
0.034,0.000543221,-0.0339877,0.999422
0.035,0.000575639,-0.0349865,0.999388
0.036,0.000608996,-0.0359854,0.999352
0.037,0.000643292,-0.0369841,0.999316
0.038,0.000678526,-0.0379828,0.999278
0.039,0.000714699,-0.0389814,0.99924
0.04,0.000751811,-0.0399799,0.9992
0.041,0.000789862,-0.0409784,0.99916
0.042,0.00082885,-0.0419767,0.999118
0.043,0.000868778,-0.042975,0.999076
0.044,0.000909644,-0.0439733,0.999032
0.045,0.000951448,-0.0449714,0.998988
0.046,0.00099419,-0.0459694,0.998942
0.047,0.00103787,-0.0469674,0.998896
0.048,0.00108249,-0.0479653,0.998848
0.049,0.00112804,-0.0489631,0.9988
0.05,0.00117454,-0.0499608,0.99875
0.051,0.00122197,-0.0509584,0.9987
0.052,0.00127034,-0.0519559,0.998649
0.053,0.00131965,-0.0529533,0.998596
0.054,0.00136989,-0.0539506,0.998543
0.055,0.00142108,-0.0549478,0.998488
0.056,0.00147319,-0.0559449,0.998433
0.057,0.00152625,-0.0569419,0.998376
0.058,0.00158025,-0.0579388,0.998319
0.059,0.00163518,-0.0589355,0.99826
0.06,0.00169104,-0.0599322,0.998201
0.061,0.00174785,-0.0609288,0.998141
0.062,0.00180559,-0.0619252,0.998079
0.063,0.00186427,-0.0629215,0.998017
0.064,0.00192388,-0.0639177,0.997953
0.065,0.00198443,-0.0649138,0.997889
0.066,0.00204592,-0.0659098,0.997823
0.067,0.00210834,-0.0669056,0.997757
0.068,0.0021717,-0.0679013,0.99769
0.069,0.002236,-0.0688969,0.997621
0.07,0.00230123,-0.0698924,0.997552
0.071,0.0023674,-0.0708877,0.997481
0.072,0.0024345,-0.0718829,0.99741
0.073,0.00250254,-0.0728779,0.997338
0.074,0.00257151,-0.0738729,0.997264
0.075,0.00264142,-0.0748676,0.99719
0.076,0.00271226,-0.0758623,0.997115
0.077,0.00278404,-0.0768568,0.997038
0.078,0.00285675,-0.0778511,0.996961
0.079,0.0029304,-0.0788453,0.996883
0.08,0.00300498,-0.0798394,0.996803
0.081,0.0030805,-0.0808333,0.996723
0.082,0.00315695,-0.081827,0.996642
0.083,0.00323433,-0.0828206,0.996559
0.084,0.00331265,-0.0838141,0.996476
0.085,0.0033919,-0.0848073,0.996392
