time,x,y,z,microwave_val
0.114,9.16097e-05,-0.113774,0.993715,0.417595
0.115,0.000164112,-0.114767,0.993601,0.408487
0.116,0.000378271,-0.115761,0.993489,0.39934
0.117,0.000146987,-0.116755,0.993376,0.390152
0.118,0.000211556,-0.117748,0.993259,0.380925
0.119,9.16168e-05,-0.118742,0.993142,0.37166
0.12,0.000147198,-0.119735,0.993021,0.362358
0.121,5.50359e-05,-0.120728,0.992901,0.353019
0.122,-0.000452203,-0.12172,0.992782,0.343646
0.123,4.87178e-05,-0.122713,0.99266,0.334238
0.124,1.8014e-05,-0.123706,0.992539,0.324796
0.125,6.93621e-05,-0.124699,0.992414,0.315322
0.126,7.62515e-05,-0.125691,0.992289,0.305817
0.127,-0.000366497,-0.126684,0.992173,0.296281
0.128,-0.000569638,-0.127676,0.992049,0.286715
0.129,-0.000903144,-0.128667,0.991928,0.277121
0.13,-0.00152645,-0.129653,0.991799,0.267499
0.131,-0.000952056,-0.13065,0.991672,0.25785
0.132,-5.49068e-05,-0.131646,0.991544,0.248175
0.133,0.000211806,-0.132638,0.991416,0.238476
0.134,0.000632025,-0.133628,0.991287,0.228753
0.135,0.000170588,-0.134621,0.991153,0.219007
0.136,0.000182649,-0.135612,0.99102,0.209239
0.137,-0.000163129,-0.136603,0.990882,0.19945
0.138,-2.19836e-05,-0.137594,0.990748,0.189641
0.139,-0.000230568,-0.138585,0.990609,0.179813
0.14,-0.000519632,-0.139575,0.990471,0.169967
0.141,-0.000421268,-0.140566,0.990334,0.160104
0.142,-0.0008678,-0.141555,0.990199,0.150225
0.143,-0.000682705,-0.142546,0.990058,0.140332
0.144,-0.000442488,-0.143537,0.989914,0.130424
0.145,-3.7234e-05,-0.144528,0.989771,0.120503
0.146,-7.2144e-05,-0.145517,0.989625,0.11057
0.147,-0.000261877,-0.146507,0.989481,0.100626
0.148,0.000329078,-0.147496,0.989335,0.0906716
0.149,-0.00032618,-0.148486,0.989188,0.0807084
0.15,-0.000773977,-0.149474,0.989043,0.0707372
0.151,-0.00104918,-0.150461,0.988894,0.0607589
0.152,-0.000595442,-0.151453,0.988744,0.0507745
0.153,-0.000219868,-0.152443,0.988593,0.040785
0.154,-0.000209676,-0.153431,0.988441,0.0307915
0.155,-0.000284348,-0.15442,0.988292,0.0207948
0.156,7.97961e-06,-0.155409,0.988137,0.0107961
0.157,0.000463936,-0.156396,0.987982,0.000796327
0.158,0.000528918,-0.157384,0.987825,-0.00920354
0.159,0.000137599,-0.158373,0.987668,-0.0192025
0.16,0.000502059,-0.15936,0.987512,-0.0291995
0.161,0.00092217,-0.160346,0.987353,-0.0391936
0.162,0.000539782,-0.161335,0.987194,-0.0491838
0.163,0.000861029,-0.162321,0.987035,-0.0591691
0.164,0.00105856,-0.163308,0.986878,-0.0691484
0.165,0.00118454,-0.164294,0.986715,-0.0791209
0.166,0.000591422,-0.165284,0.986551,-0.0890854
0.167,0.00076914,-0.16627,0.986386,-0.099041
0.168,0.00040534,-0.167258,0.986221,-0.108987
0.169,-9.58925e-05,-0.168244,0.986054,-0.118922
0.17,-3.2343e-05,-0.16923,0.985884,-0.128844
0.171,-0.000408059,-0.170216,0.985718,-0.138755
0.172,-0.000124276,-0.171202,0.985546,-0.148651
0.173,-0.000159628,-0.172187,0.985374,-0.158532
0.174,-0.000235318,-0.173173,0.985202,-0.168397
0.175,7.56834e-05,-0.174158,0.985029,-0.178246
0.176,0.000318224,-0.175143,0.984857,-0.188077
0.177,-0.000494765,-0.176128,0.984682,-0.197889
0.178,-0.00109531,-0.177111,0.984512,-0.207681
0.179,-0.000585776,-0.178098,0.984337,-0.217452
0.18,-0.000927215,-0.179081,0.984159,-0.227202
0.181,-0.000686384,-0.180066,0.983981,-0.236929
0.182,0.000205371,-0.181052,0.983801,-0.246632
0.183,0.000419731,-0.182036,0.983624,-0.256311
0.184,0.000713385,-0.183019,0.983443,-0.265964
0.185,0.000611616,-0.184002,0.98326,-0.27559
0.186,3.34238e-05,-0.184988,0.98308,-0.285189
0.187,-1.82053e-05,-0.185971,0.982896,-0.294759
0.188,9.94128e-05,-0.186953,0.982709,-0.3043
0.189,-2.49641e-05,-0.187937,0.982524,-0.313811
0.19,2.80624e-05,-0.188919,0.982338,-0.32329
0.191,-0.000482302,-0.189901,0.982149,-0.332736
0.192,-3.47587e-06,-0.190883,0.981957,-0.34215
0.193,-0.000533797,-0.191865,0.981766,-0.351529
0.194,-0.00105135,-0.192846,0.981582,-0.360873
0.195,-0.00055557,-0.193829,0.981389,-0.370181
0.196,-0.000706638,-0.19481,0.981193,-0.379452
0.197,-0.00165941,-0.195786,0.981,-0.388685
0.198,-0.00124366,-0.19677,0.980806,-0.397879
0.199,-0.00196191,-0.197745,0.980609,-0.407033
0.2,-0.00179587,-0.198727,0.98041,-0.416147
0.201,-0.00182537,-0.199707,0.980212,-0.425219
0.202,-0.000513833,-0.200695,0.980013,-0.434248
0.203,-0.000698173,-0.201675,0.979816,-0.443234
0.204,-0.000702759,-0.202655,0.979615,-0.452176
0.205,-0.00109061,-0.203634,0.979415,-0.461073
0.206,-0.000568664,-0.204616,0.979213,-0.469923
0.207,0.00041003,-0.205596,0.979009,-0.478727
0.208,0.000220554,-0.206575,0.978806,-0.487482
0.209,-0.000407743,-0.207554,0.978598,-0.496189
0.21,-0.000435378,-0.208534,0.9784,-0.504846
0.211,-0.000535139,-0.209512,0.978192,-0.513453
0.212,-0.000644508,-0.21049,0.977982,-0.522008
0.213,-0.000436588,-0.211469,0.977772,-0.530511
0.214,6.6118e-05,-0.212447,0.977562,-0.538961
0.215,-0.000452049,-0.213425,0.97735,-0.547358
0.216,-0.000760836,-0.214401,0.977137,-0.555699
0.217,-0.0012784,-0.215376,0.976922,-0.563985
0.218,-0.00108997,-0.216354,0.976707,-0.572215
0.219,-0.00135895,-0.217329,0.976491,-0.580387
0.22,-0.00130594,-0.218306,0.976273,-0.588501
0.221,-0.00187865,-0.219278,0.976055,-0.596557
0.222,-0.00201103,-0.220252,0.975833,-0.604552
0.223,-0.00254786,-0.221223,0.975614,-0.612488
0.224,-0.0024626,-0.2222,0.975395,-0.620362
0.225,-0.00257298,-0.223175,0.975179,-0.628174
0.226,-0.00278418,-0.224148,0.974956,-0.635923
0.227,-0.0026059,-0.225125,0.974731,-0.643608
0.228,-0.001855,-0.226107,0.974508,-0.65123
0.229,-0.00213991,-0.227081,0.974289,-0.658786
0.23,-0.00186074,-0.228058,0.974064,-0.666276
0.231,-0.00228423,-0.229029,0.973836,-0.6737
0.232,-0.00219685,-0.230003,0.973607,-0.681056
0.233,-0.00252803,-0.230974,0.973381,-0.688344
0.234,-0.00293967,-0.231943,0.97315,-0.695563
0.235,-0.00369875,-0.232905,0.972918,-0.702713
0.236,-0.00342948,-0.233882,0.972686,-0.709793
0.237,-0.00283257,-0.234864,0.972456,-0.716801
0.238,-0.00316079,-0.235832,0.972218,-0.723738
0.239,-0.00401266,-0.236791,0.971982,-0.730602
0.24,-0.0035275,-0.237771,0.971746,-0.737394
0.241,-0.00379446,-0.238738,0.971508,-0.744111
0.242,-0.00351788,-0.239714,0.971268,-0.750755
0.243,-0.00440566,-0.24067,0.971028,-0.757323
0.244,-0.00428516,-0.241644,0.970787,-0.763815
0.245,-0.00420581,-0.242616,0.970548,-0.770231
0.246,-0.00365976,-0.243596,0.970305,-0.77657
0.247,-0.00327464,-0.244573,0.970067,-0.782832
